timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
103479,26,44,14,16.31,8.75,-6.53,-0.91,0.1,0.1,B,2026-01-02 09:52:27
104033,22,35,12,-2.08,18.55,-0.82,-0.91,0.15,-0.19,B,2026-01-02 09:52:28
104487,22,39,9,-2.72,-5.4,2.85,-0.93,0.2,-0.12,B,2026-01-02 09:52:28
104988,24,22,13,-7.25,6.85,0.52,-0.97,0.19,-0.03,B,2026-01-02 09:52:29
105498,25,33,17,-4.61,0,0.55,-0.97,0.19,-0.05,B,2026-01-02 09:52:29
105998,24,44,9,10.32,5.27,6.05,-0.99,0.21,-0.03,B,2026-01-02 09:52:30
106499,27,35,17,6.55,7.3,4.58,-0.94,0.18,-0.05,B,2026-01-02 09:52:30
107047,23,33,7,2.02,5.24,5.8,-0.98,0.27,-0.01,B,2026-01-02 09:52:31
107547,27,35,1,-4.11,4.27,5.31,-0.95,0.22,-0.05,B,2026-01-02 09:52:31
108102,21,33,5,8.55,10.4,13.31,-0.98,0.27,-0.07,B,2026-01-02 09:52:32
108657,18,30,1,-8.43,11.16,-18.52,-1.01,0.3,0.06,B,2026-01-02 09:52:32
109105,23,48,1,-6.03,8.79,3.31,-0.93,0.23,0.12,B,2026-01-02 09:52:33
109607,19,43,5,-0.24,14.66,1.53,-0.97,0.3,0.02,B,2026-01-02 09:52:33
110150,20,35,5,-3.07,0.17,1.04,-0.96,0.26,-0.04,B,2026-01-02 09:52:34
110650,18,37,4,-1.27,2.14,-1.3,-0.95,0.27,-0.05,B,2026-01-02 09:52:34
111151,19,37,9,-2.17,-0.5,0.34,-0.95,0.25,-0.02,B,2026-01-02 09:52:35
111706,19,35,11,0.79,4.7,1.27,-0.96,0.26,0,B,2026-01-02 09:52:36
112173,20,37,11,-3.27,1.01,2.23,-0.95,0.23,-0.03,B,2026-01-02 09:52:36
112676,21,37,9,1.21,5.28,3.08,-0.97,0.27,-0.03,B,2026-01-02 09:52:36
113229,21,39,16,-0.34,0.98,-1.62,-0.94,0.23,-0.06,B,2026-01-02 09:52:37
113783,20,33,17,-1.74,1.18,-0.24,-0.95,0.24,0.01,B,2026-01-02 09:52:38
114229,22,30,11,-0.73,-12.29,30.05,-0.93,0.34,-0.12,B,2026-01-02 09:52:38
114730,23,39,20,-1.76,2.47,0.23,-0.91,0.25,-0.12,B,2026-01-02 09:52:38
115286,18,35,8,-20.58,2.15,15.28,-0.99,0.22,0.07,B,2026-01-02 09:52:39
115765,22,41,14,-133.73,16.7,-28.11,-0.86,0.19,0.11,B,2026-01-02 09:52:40
116267,29,48,4,-12.85,11.56,10.93,-1,0.11,-0.2,B,2026-01-02 09:52:40
116767,25,48,21,-6.29,0.29,-0.89,-0.9,0.15,-0.13,B,2026-01-02 09:52:41
117287,28,39,14,-5.28,1.91,-1.04,-0.94,0.01,-0.19,B,2026-01-02 09:52:41
117798,26,46,22,-5.21,2.79,0.85,-0.96,0.04,-0.2,B,2026-01-02 09:52:42
118306,28,52,18,11.73,5.13,-1.54,-0.96,0.07,-0.2,B,2026-01-02 09:52:42
118824,30,43,21,295.33,-13.92,48.05,-0.97,-0.19,-0.2,B,2026-01-02 09:52:43
119357,29,52,22,-15.37,3.69,-9.88,-0.72,0.15,-0.26,B,2026-01-02 09:52:43
119911,27,44,22,-3.21,1.24,-2.96,-0.99,0.09,-0.01,B,2026-01-02 09:52:44
120466,26,41,16,13.39,1.08,8.26,-0.98,0.15,-0.05,B,2026-01-02 09:52:44
120917,26,46,21,85.59,-24.7,-4.87,-0.91,0.27,-0.08,B,2026-01-02 09:52:45
121418,27,35,14,43.33,-21.88,3.04,-0.96,0.34,-0.13,B,2026-01-02 09:52:45
121918,27,30,11,37.5,3.68,8.7,-0.9,0.39,0,B,2026-01-02 09:52:46
122469,24,24,20,36.47,-7.31,10.26,-0.97,0.26,0.06,B,2026-01-02 09:52:46
123024,24,31,14,-4.53,-8.38,-0.46,-0.93,0.26,-0.15,B,2026-01-02 09:52:47
123471,25,41,22,-100.03,41.34,-27.1,-0.93,0.22,-0.16,B,2026-01-02 09:52:47
123972,18,33,8,-12.63,-15.04,13.36,-0.98,0.21,-0.1,B,2026-01-02 09:52:48
124472,19,17,14,-3.57,25.04,-2.35,-1.04,0.31,0.03,B,2026-01-02 09:52:48
124978,19,33,33,1.15,-26.24,1.83,-0.99,0.22,-0.23,B,2026-01-02 09:52:49
125480,21,31,0,-6.55,-2.15,0,-0.93,0.18,-0.15,B,2026-01-02 09:52:49
125990,19,37,13,-3.4,-1.48,-0.03,-0.94,0.21,-0.09,B,2026-01-02 09:52:50
126491,19,33,20,-7.45,-0.92,5.18,-0.96,0.2,-0.07,B,2026-01-02 09:52:50
127046,19,33,17,-2.38,-10.44,12.85,-1.11,0.27,0.05,B,2026-01-02 09:52:51
127497,21,28,16,-9.97,9.62,4.2,-0.95,0.22,-0.12,B,2026-01-02 09:52:51
128037,21,30,1,-8.41,-0.75,-4.49,-0.94,0.23,-0.08,B,2026-01-02 09:52:52
128556,20,28,20,10.03,5.01,-0.05,-0.95,0.21,-0.09,B,2026-01-02 09:52:52
129068,20,31,24,-2.53,-2.58,-2.32,-0.98,0.24,-0.17,B,2026-01-02 09:52:53
129619,18,26,18,2.15,3.8,6.15,-0.96,0.18,-0.1,B,2026-01-02 09:52:53
130120,22,30,14,-4.44,4.17,-2.58,-0.95,0.18,-0.11,B,2026-01-02 09:52:54
130676,19,15,12,-2.4,3.94,0.29,-0.98,0.19,-0.09,B,2026-01-02 09:52:54
131128,22,35,20,-5.4,1.47,-1.68,-0.96,0.18,-0.09,B,2026-01-02 09:52:55
131628,20,30,18,-5.16,3.85,-2.21,-0.96,0.21,-0.09,B,2026-01-02 09:52:55
132134,20,30,24,3.59,6.82,3.53,-0.97,0.19,-0.08,B,2026-01-02 09:52:56
132647,20,35,18,0.52,2.67,8.2,-0.95,0.24,-0.09,B,2026-01-02 09:52:56
133199,18,33,14,-5.69,7.77,1.5,-1,0.22,-0.05,B,2026-01-02 09:52:57
133700,19,22,18,-2.4,2.46,-1.88,-0.95,0.2,-0.1,B,2026-01-02 09:52:57
134201,23,35,22,-1.16,0.7,0.34,-0.97,0.19,-0.09,B,2026-01-02 09:52:58
134703,34,41,22,-12.09,-5.13,-1.36,-0.95,0.17,-0.09,B,2026-01-02 09:52:58
135258,34,43,32,-0.92,1.51,-3.63,-0.96,0.17,-0.12,B,2026-01-02 09:52:59
135814,30,44,29,-5.02,1.05,0.37,-0.96,0.18,-0.11,B,2026-01-02 09:53:00
136270,31,44,32,-2.58,1.8,0.61,-0.96,0.19,-0.11,B,2026-01-02 09:53:00
136771,31,39,30,-2.92,2.06,-1.01,-0.97,0.18,-0.11,B,2026-01-02 09:53:01
137272,32,43,26,-3.07,1.86,0.18,-0.96,0.19,-0.1,B,2026-01-02 09:53:01
137828,34,44,28,-3.01,2.56,2.18,-0.98,0.19,-0.11,B,2026-01-02 09:53:02
138384,33,39,32,0.27,2.98,2.52,-0.96,0.18,-0.11,B,2026-01-02 09:53:02
138848,35,44,36,-1.53,2.35,-1.1,-0.96,0.18,-0.11,B,2026-01-02 09:53:03
139403,34,41,32,-1.22,1.98,0.24,-0.96,0.18,-0.1,B,2026-01-02 09:53:03
139858,32,39,26,0.32,3.25,0.08,-0.98,0.18,-0.1,B,2026-01-02 09:53:04
140358,33,44,29,7.68,54.78,5.56,-0.93,0.24,-0.28,B,2026-01-02 09:53:04
140910,34,44,24,-2.55,-1.25,0.23,-0.95,0.18,-0.24,B,2026-01-02 09:53:05
141465,31,39,29,0,2.35,3.88,-0.95,0.18,-0.22,B,2026-01-02 09:53:05
141967,34,43,32,-4.02,1.21,-1.02,-0.95,0.2,-0.22,B,2026-01-02 09:53:06
142516,33,43,32,-2.47,3.01,-0.63,-0.95,0.19,-0.22,B,2026-01-02 09:53:06
143016,32,33,22,-2.79,2.78,-2.12,-0.95,0.19,-0.2,B,2026-01-02 09:53:07
143517,31,44,30,-4.17,0.08,-0.5,-0.97,0.18,-0.2,B,2026-01-02 09:53:07
144017,31,31,26,-3.07,1.95,-0.78,-0.97,0.19,-0.18,B,2026-01-02 09:53:08
144528,30,35,22,-3.28,3.98,-0.14,-0.94,0.18,-0.19,B,2026-01-02 09:53:08
145039,31,39,28,-2.41,2.35,-1.13,-0.96,0.18,-0.19,B,2026-01-02 09:53:09
145549,31,46,29,0.64,9.05,1.16,-0.97,0.2,-0.19,B,2026-01-02 09:53:09
146103,31,37,29,3.89,6.31,-3.86,-0.93,0.19,-0.23,B,2026-01-02 09:53:10
146657,30,41,32,-0.55,-1.42,-6.15,-0.92,0.13,-0.19,B,2026-01-02 09:53:10
147210,35,43,24,-2.76,7.68,-3.4,-0.94,0.17,-0.19,B,2026-01-02 09:53:11
147711,37,44,32,-3.3,-0.32,2.52,-0.94,0.18,-0.17,B,2026-01-02 09:53:12
148219,35,44,34,0.95,1.62,5.91,-0.97,0.19,-0.16,B,2026-01-02 09:53:12
148728,36,46,36,1.11,-1.34,1.05,-0.96,0.18,-0.18,B,2026-01-02 09:53:13
149238,39,57,29,-1.95,0.38,-0.53,-0.97,0.16,-0.16,B,2026-01-02 09:53:13
149789,39,46,34,-2.03,2.38,1.47,-0.97,0.17,-0.16,B,2026-01-02 09:53:14
150291,36,41,30,-1.91,3.33,-0.78,-0.95,0.17,-0.18,B,2026-01-02 09:53:14
150793,33,41,37,-0.9,2.15,-0.5,-0.97,0.16,-0.17,B,2026-01-02 09:53:15
151294,35,43,29,-3.37,-0.29,-0.75,-0.93,0.17,-0.19,B,2026-01-02 09:53:15
