timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
21117,72,76,84,20.85,21.8,-2.53,-0.94,-0.09,0.37,D,2026-01-02 10:01:09
21619,72,72,81,1.91,28.2,8.5,-0.92,0.03,0.15,D,2026-01-02 10:01:10
22174,72,75,83,-3.42,-1.97,-0.08,-0.92,0.1,0.1,D,2026-01-02 10:01:11
22623,73,75,83,-6.4,12.37,-6.69,-0.96,0.03,0.15,D,2026-01-02 10:01:11
23147,72,75,84,-2.03,-1.19,1.39,-0.96,0.08,0.15,D,2026-01-02 10:01:11
23647,72,76,80,-2.79,2.58,1.04,-0.92,0.06,0.14,D,2026-01-02 10:01:12
24176,72,75,83,0.44,1.65,0.98,-0.96,0.07,0.15,D,2026-01-02 10:01:12
24677,72,76,82,1.89,1.8,-0.44,-0.97,0.09,0.15,D,2026-01-02 10:01:13
25187,72,75,81,-5.57,4.64,-4.24,-0.97,0.06,0.19,D,2026-01-02 10:01:13
25743,72,75,82,0.78,3.62,2.73,-0.93,0.1,0.13,D,2026-01-02 10:01:14
26204,73,77,82,-2.76,1.63,2.2,-0.95,0.11,0.17,D,2026-01-02 10:01:15
26716,72,75,84,-2.02,-1.22,1.95,-0.95,0.12,0.17,D,2026-01-02 10:01:15
27258,73,75,83,-4.61,1.36,1.16,-0.95,0.13,0.18,D,2026-01-02 10:01:16
27760,73,74,81,-4.08,-1.91,-2.47,-0.93,0.11,0.21,D,2026-01-02 10:01:16
28260,74,75,81,-74.08,-1.57,9.04,-0.97,0.14,0.25,D,2026-01-02 10:01:17
28773,73,74,80,-21.39,7.94,4.44,-0.94,0.06,0.3,D,2026-01-02 10:01:17
29276,78,77,81,4.5,-1.51,-4.08,-0.91,0.1,0.26,D,2026-01-02 10:01:18
29786,76,76,81,0.69,2.15,7.86,-0.93,0.12,0.28,D,2026-01-02 10:01:18
30287,77,77,82,-89.71,6.31,2.55,-0.88,-0.1,0.39,D,2026-01-02 10:01:19
30816,76,76,82,-150.99,3.05,57.92,-0.98,-0.24,0.08,D,2026-01-02 10:01:19
31366,75,77,83,-10.87,14.64,0.11,-1.02,-0.08,-0.11,D,2026-01-02 10:01:20
31918,75,76,82,0.85,1.39,-10.21,-1,-0.04,0.02,D,2026-01-02 10:01:20
32454,76,77,81,12.11,7.51,-11.56,-0.94,-0.22,-0.13,D,2026-01-02 10:01:21
32966,74,77,83,162.08,-2.47,-11.51,-0.9,-0.01,0.06,D,2026-01-02 10:01:21
33476,75,77,80,77.5,-102.31,-9.16,-1.03,0.08,0.59,D,2026-01-02 10:01:22
33986,73,76,80,0.02,3.83,0.72,-0.92,-0.04,0.41,D,2026-01-02 10:01:22
34493,73,74,81,-7.22,-1.68,-4.03,-0.88,-0.06,0.39,D,2026-01-02 10:01:23
34995,74,76,83,3.18,-0.17,0.58,-0.9,-0.06,0.32,D,2026-01-02 10:01:23
35525,74,75,81,-0.7,0.38,2.46,-0.89,-0.09,0.31,D,2026-01-02 10:01:24
36036,73,75,80,1.08,3.13,3.37,-0.87,-0.09,0.43,D,2026-01-02 10:01:24
36546,73,75,82,3.63,7.18,4.5,-0.87,-0.03,0.37,D,2026-01-02 10:01:25
37056,74,75,82,-3.07,-2.06,2.47,-0.87,-0.03,0.41,D,2026-01-02 10:01:25
37608,73,75,80,-3.42,9.04,9.66,-0.86,-0.06,0.32,D,2026-01-02 10:01:26
38110,74,76,82,-2.96,-2.03,8.31,-0.94,-0.02,0.29,D,2026-01-02 10:01:26
38611,73,76,80,-4.31,4.32,-1.88,-0.9,-0.01,0.29,D,2026-01-02 10:01:27
39160,73,77,81,-4.11,3.79,-2.29,-0.92,0,0.27,D,2026-01-02 10:01:28
39660,73,75,81,-89.76,12.84,-5.37,-0.92,-0.14,0.31,D,2026-01-02 10:01:28
40215,74,76,82,-102.66,-1.04,12.17,-0.92,-0.15,0.03,D,2026-01-02 10:01:28
40769,74,75,83,-20.4,23.13,-2.78,-1.04,-0.11,-0.24,D,2026-01-02 10:01:29
41324,73,76,82,0.29,12.21,0.21,-0.96,-0.14,-0.21,D,2026-01-02 10:01:30
41776,74,74,81,2.02,3.53,-0.55,-0.96,-0.17,-0.23,D,2026-01-02 10:01:30
