timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
22830,82,62,55,1.22,-3.76,4.56,-0.95,0.07,0.14,L,2026-01-02 10:06:51
23287,88,63,59,-18.4,-0.63,-10.29,-0.95,0.1,0.24,L,2026-01-02 10:06:51
23789,91,58,66,0.66,-2.73,-1.44,-0.94,0.11,0.2,L,2026-01-02 10:06:52
24290,92,68,68,-1.13,2.44,1.68,-0.94,0.07,0.25,L,2026-01-02 10:06:52
24841,90,54,70,0.41,1.63,-0.29,-0.94,0.07,0.23,L,2026-01-02 10:06:53
25391,84,48,60,3.05,4.44,6.34,-0.95,0.06,0.21,L,2026-01-02 10:06:54
25910,82,48,57,0.29,-2.82,1.39,-0.95,0.13,0.23,L,2026-01-02 10:06:54
26428,87,52,58,-5.18,6.49,2.55,-0.93,0.15,0.24,L,2026-01-02 10:06:55
26936,87,45,58,4.29,12.69,9.88,-0.94,0.16,0.19,L,2026-01-02 10:06:55
27446,91,59,69,-16,-22.56,2.11,-0.97,0.16,0.28,L,2026-01-02 10:06:56
27948,84,58,62,-4.12,-1.42,0.46,-0.9,0.19,0.25,L,2026-01-02 10:06:56
28466,83,58,57,-5.02,0.96,-1.13,-0.89,0.14,0.29,L,2026-01-02 10:06:57
28977,86,63,62,-2.64,-4.12,-1.16,-0.87,0.15,0.29,L,2026-01-02 10:06:57
29527,88,62,65,-8.38,-20.43,-14.02,-0.9,0.12,0.28,L,2026-01-02 10:06:58
30029,89,58,61,4.78,-8.09,3.51,-0.93,0.16,0.29,L,2026-01-02 10:06:58
30530,85,52,65,4.63,-11.24,18.27,-0.94,0.2,0.33,L,2026-01-02 10:06:59
31085,86,65,63,-6.7,2.55,3.79,-0.89,0.2,0.34,L,2026-01-02 10:06:59
31533,73,55,59,6.92,3.47,9.85,-0.91,0.11,0.25,L,2026-01-02 10:07:00
32087,81,55,59,-9.48,1.31,0.26,-0.88,0.17,0.36,L,2026-01-02 10:07:00
32589,82,58,57,-11.31,9.11,-3.11,-0.89,0.23,0.34,L,2026-01-02 10:07:01
33089,82,56,57,0.58,2.05,-27.94,-0.91,0.15,0.31,L,2026-01-02 10:07:01
33589,83,58,58,1.69,-1.19,5.91,-0.94,0.12,0.3,L,2026-01-02 10:07:02
34101,83,59,60,-3.69,-0.98,4.31,-0.92,0.16,0.26,L,2026-01-02 10:07:02
34613,80,49,52,22.84,4.78,2.82,-0.97,0.18,0.13,L,2026-01-02 10:07:03
35126,85,69,61,-25.6,29.25,-22.14,-0.94,0.1,0.22,L,2026-01-02 10:07:03
35629,84,65,70,8.09,-14.15,15.42,-0.9,0,0.2,L,2026-01-02 10:07:04
36146,82,69,70,12.67,-1.44,3.65,-0.94,0.12,0.15,L,2026-01-02 10:07:04
36659,82,66,58,8.14,12.02,-7.79,-0.92,0.19,0.27,L,2026-01-02 10:07:05
37160,84,68,68,-14.58,-7.92,7.48,-0.93,0.16,0.23,L,2026-01-02 10:07:05
37715,83,69,70,2.99,-2.75,-24.56,-0.94,0.01,0.21,L,2026-01-02 10:07:06
38193,85,63,61,26.92,6.32,6.34,-0.95,0.15,0.28,L,2026-01-02 10:07:06
38713,82,65,52,13.85,-93.44,-0.58,-0.82,0.1,0.44,L,2026-01-02 10:07:07
39226,85,66,59,-6.9,-1.25,-1.74,-0.93,0.06,0.3,L,2026-01-02 10:07:07
39737,80,65,63,-4.38,-1.82,8.72,-0.94,0.02,0.33,L,2026-01-02 10:07:08
40247,82,63,62,-7.19,10.92,-5.56,-0.89,0.06,0.29,L,2026-01-02 10:07:08
40757,83,72,60,-0.32,8.23,2.14,-0.91,0.11,0.32,L,2026-01-02 10:07:09
41259,93,75,54,-4.61,-0.73,2.95,-0.94,0.09,0.22,L,2026-01-02 10:07:09
41815,95,69,75,-1.68,1.98,-4.34,-0.92,0.03,0.25,L,2026-01-02 10:07:10
42297,92,62,62,3.45,4.66,-1.15,-0.91,0.05,0.21,L,2026-01-02 10:07:10
42799,92,68,61,-1.65,7.59,1.16,-0.93,0.02,0.28,L,2026-01-02 10:07:11
43314,95,63,60,1.34,2.55,-0.02,-0.93,0.07,0.26,L,2026-01-02 10:07:11
43815,97,70,66,4.29,0.11,4.35,-0.94,0.01,0.21,L,2026-01-02 10:07:12
44336,96,69,66,2.49,11.45,6.37,-0.93,0.11,0.21,L,2026-01-02 10:07:13
44854,73,56,60,-1.63,17.25,7.01,-0.97,0.16,0.12,L,2026-01-02 10:07:13
45367,42,45,39,-8.32,1.86,-5.07,-0.92,0.14,0.07,L,2026-01-02 10:07:13
45866,50,52,43,-13.97,-0.6,-4.78,-0.98,0.16,0.12,L,2026-01-02 10:07:14
46418,55,51,41,-2.55,-0.89,-0.34,-0.98,0.12,0.12,L,2026-01-02 10:07:15
46918,51,49,41,-0.21,3.08,0.81,-0.96,0.11,0.07,L,2026-01-02 10:07:15
47419,54,52,43,-1.54,-1.77,-1.77,-0.98,0.06,0.1,L,2026-01-02 10:07:16
47926,51,39,41,-2.52,-3.47,-8.52,-0.99,0.05,0.04,L,2026-01-02 10:07:16
48433,47,62,43,-1.82,1.54,0.27,-0.94,0.07,0.12,L,2026-01-02 10:07:17
48947,53,49,42,-3.18,-2.98,-6.66,-0.98,0.05,0.11,L,2026-01-02 10:07:17
49457,49,51,41,-3.07,5.98,-3.11,-0.97,0.05,0.21,L,2026-01-02 10:07:18
49976,53,49,44,-4.24,-2.87,-1.42,-0.96,0.01,0.15,L,2026-01-02 10:07:18
50487,48,48,44,-1.02,7.69,3.86,-0.97,0,0.16,L,2026-01-02 10:07:19
50996,66,62,61,-0.15,2.26,0.89,-0.94,0.01,0.15,L,2026-01-02 10:07:19
51498,64,61,53,-3.02,-2.37,-1.74,-0.98,-0.01,0.15,L,2026-01-02 10:07:20
52014,66,46,41,-1.05,3.92,1.07,-0.96,0.03,0.16,L,2026-01-02 10:07:20
52567,63,44,47,-1.45,2.43,1.1,-0.95,0.02,0.14,L,2026-01-02 10:07:21
53119,62,46,51,1.08,7.3,1.71,-0.97,0.05,0.14,L,2026-01-02 10:07:21
53675,59,42,43,7.83,-1.54,7.16,-0.97,0.02,0.24,L,2026-01-02 10:07:22
54127,56,46,47,-4.34,6.35,5.48,-0.95,0.14,0.09,L,2026-01-02 10:07:22
54683,57,44,44,6.12,3.73,4.95,-0.97,0.08,0.23,L,2026-01-02 10:07:23
55184,56,56,43,5.71,4.98,-3.04,-0.95,0.05,0.18,L,2026-01-02 10:07:23
55706,58,49,39,-3.85,0.56,-4.5,-0.98,0.05,0.21,L,2026-01-02 10:07:24
56216,55,51,44,0.08,1.66,-0.06,-0.93,0.06,0.2,L,2026-01-02 10:07:24
56736,61,52,43,-0.75,3.62,-2.89,-0.93,0.03,0.23,L,2026-01-02 10:07:25
57287,62,39,43,-1.25,6.67,1.63,-0.93,-0.01,0.2,L,2026-01-02 10:07:25
57787,68,58,41,1.77,1.39,3.4,-0.94,0.02,0.25,L,2026-01-02 10:07:26
58338,59,49,35,-1.31,6.99,3.31,-0.97,0.03,0.22,L,2026-01-02 10:07:27
58887,93,63,57,-8.5,-16.24,-3.48,-1,0.08,0.23,L,2026-01-02 10:07:27
59398,86,59,63,-19.91,14.53,-5.62,-0.92,-0.01,0.33,L,2026-01-02 10:07:28
59906,94,63,61,-0.29,-10.52,4.37,-0.97,-0.03,0.19,L,2026-01-02 10:07:28
60414,97,65,66,-7.53,-8.64,15.39,-0.92,-0.04,0.24,L,2026-01-02 10:07:29
60934,93,65,63,19.8,16.5,12.38,-0.95,0.04,0.22,L,2026-01-02 10:07:29
61447,90,66,65,0.14,4.5,-1.62,-0.94,0.09,0.14,L,2026-01-02 10:07:30
61967,91,68,57,-4.93,3.62,-7.16,-0.99,0.07,0.18,L,2026-01-02 10:07:30
62469,92,70,66,3.4,5.85,-3.62,-0.97,0.01,0.17,L,2026-01-02 10:07:31
62969,92,62,60,3.39,5.19,-0.43,-0.94,0.03,0.16,L,2026-01-02 10:07:31
63523,91,61,61,2.41,6.15,7.77,-0.98,0.05,0.2,L,2026-01-02 10:07:32
63977,93,49,60,-8.64,4.08,-23.05,-0.99,0.01,0.19,L,2026-01-02 10:07:32
64518,91,63,53,1.63,-1.18,15.42,-0.98,0.01,0.03,L,2026-01-02 10:07:33
65020,93,62,60,-2.85,-3.05,-0.09,-0.98,0.03,0.13,L,2026-01-02 10:07:33
65576,91,59,57,-3.92,-0.37,-5.39,-0.95,0,0.1,L,2026-01-02 10:07:34
66047,92,61,57,-0.11,5.53,2.02,-0.98,0,0.13,L,2026-01-02 10:07:34
66599,90,66,55,-2.6,6.95,-1.27,-0.97,0.03,0.12,L,2026-01-02 10:07:35
67153,90,51,61,2.61,-1.07,4.49,-0.95,0.05,0.15,L,2026-01-02 10:07:35
67607,88,56,55,-2.4,3.22,2.49,-0.97,0.06,0.21,L,2026-01-02 10:07:36
68156,88,45,59,-2.17,5.21,-2.24,-0.96,0.06,0.22,L,2026-01-02 10:07:36
68706,90,61,48,-2.55,-0.46,4.93,-0.95,0.01,0.21,L,2026-01-02 10:07:37
69259,88,68,61,0.27,2.89,0.79,-0.96,0.03,0.23,L,2026-01-02 10:07:37
69761,84,62,53,-0.73,3.51,2.84,-0.94,0.06,0.24,L,2026-01-02 10:07:38
70316,87,63,56,-2.47,7.3,3.4,-0.94,0.09,0.24,L,2026-01-02 10:07:39
70765,88,56,56,-10.56,4.26,2.95,-0.97,0.09,0.23,L,2026-01-02 10:07:39
71316,84,44,48,-3.54,9.54,-1.16,-0.95,0.1,0.22,L,2026-01-02 10:07:39
71817,88,69,58,0.7,-6.05,1.74,-0.84,0.06,0.1,L,2026-01-02 10:07:40
72317,88,58,53,0.47,-0.53,-12.67,-1.11,0.09,0.26,L,2026-01-02 10:07:40
72818,82,68,56,-2.61,0,-0.26,-0.98,0.02,0.21,L,2026-01-02 10:07:41
73320,89,62,57,-1.56,4.89,-0.15,-0.96,0.04,0.23,L,2026-01-02 10:07:41
73876,87,59,58,-0.43,0.73,-1.27,-0.95,0.03,0.21,L,2026-01-02 10:07:42
74347,86,58,61,-1.48,2.41,0.43,-0.95,0.03,0.21,L,2026-01-02 10:07:43
74857,90,63,44,-4.34,2.18,1.07,-0.95,0.04,0.22,L,2026-01-02 10:07:43
