timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
16071,63,25,8,6.79,35.65,10.52,-0.78,0.11,0.34,MERCI,2026-01-02 10:09:41
16570,71,23,15,5.69,1.91,0.81,-0.89,0.06,0.47,MERCI,2026-01-02 10:09:42
17076,81,27,17,7.44,5.07,10.18,-0.87,0.11,0.41,MERCI,2026-01-02 10:09:42
17631,81,25,17,3.89,3.85,-3.77,-0.87,0.09,0.42,MERCI,2026-01-02 10:09:43
18185,83,26,21,-2.41,0.03,-1.05,-0.88,0.05,0.39,MERCI,2026-01-02 10:09:44
18633,82,29,24,2.9,5.6,2.55,-0.9,0.07,0.44,MERCI,2026-01-02 10:09:44
19134,88,26,23,0.67,2.35,0.82,-0.92,0.09,0.15,MERCI,2026-01-02 10:09:44
19648,85,23,17,-2.2,0.75,-10.73,-1.08,0.03,0.26,MERCI,2026-01-02 10:09:45
20148,76,23,10,4.96,5.73,11.98,-0.93,0.13,0.2,MERCI,2026-01-02 10:09:45
20700,81,22,13,2.29,8.84,2.61,-0.84,0.09,-0.15,MERCI,2026-01-02 10:09:46
21202,80,23,16,-0.99,-1.82,2.43,-0.93,0.07,0.29,MERCI,2026-01-02 10:09:47
21758,76,20,12,2.5,-3.01,3.04,-0.93,0.14,0.28,MERCI,2026-01-02 10:09:47
22218,83,22,17,-12.34,-7.19,-3.82,-0.91,0.04,0.32,MERCI,2026-01-02 10:09:48
22718,86,23,19,3.65,0.76,2.23,-0.92,0.1,0.32,MERCI,2026-01-02 10:09:48
23220,86,22,19,-5.88,-1.42,-6.2,-0.92,0.12,0.33,MERCI,2026-01-02 10:09:49
23774,86,23,16,-3.97,1.01,-1.82,-0.92,0.12,0.29,MERCI,2026-01-02 10:09:49
24248,84,23,20,-3.05,-0.11,1.15,-0.92,0.11,0.3,MERCI,2026-01-02 10:09:50
24759,85,23,20,0.75,6.79,-3.4,-0.88,0.09,0.3,MERCI,2026-01-02 10:09:50
25269,84,24,22,-0.78,4.76,1.36,-0.93,0.09,0.3,MERCI,2026-01-02 10:09:51
25781,86,22,22,-4.29,3.36,-0.26,-0.89,0.08,0.31,MERCI,2026-01-02 10:09:51
26337,85,23,24,-4.18,-0.06,5.4,-0.89,0.09,0.35,MERCI,2026-01-02 10:09:52
26807,100,33,22,-1.44,1.42,-4.63,-0.9,0.08,0.28,MERCI,2026-01-02 10:09:52
27360,100,28,27,-5.62,-6.52,1.66,-0.9,0.1,0.29,MERCI,2026-01-02 10:09:53
27862,96,26,24,1.62,6.4,7.01,-0.89,0.08,0.34,MERCI,2026-01-02 10:09:53
28417,100,25,27,-3.73,-11.8,-7.97,-0.94,0.2,0.33,MERCI,2026-01-02 10:09:54
28865,79,22,23,-3.76,-1.36,-0.24,-0.91,0.18,0.37,MERCI,2026-01-02 10:09:54
29368,81,23,25,-4.05,2.17,-0.37,-0.87,0.15,0.35,MERCI,2026-01-02 10:09:55
29921,86,23,22,-0.52,81.6,-5.57,-0.92,0.03,-0.04,MERCI,2026-01-02 10:09:55
30421,84,23,23,-3.54,0.24,-5.65,-0.98,-0.02,0.13,MERCI,2026-01-02 10:09:56
30923,87,21,23,-8.06,-2.95,3.48,-0.93,0.03,0.09,MERCI,2026-01-02 10:09:56
31425,87,23,29,-1.27,0.61,7.82,-0.96,0.01,0.24,MERCI,2026-01-02 10:09:57
31928,87,23,27,5.37,5.22,2.75,-0.97,0.07,0.15,MERCI,2026-01-02 10:09:57
32428,88,24,27,-8.52,-2.78,-6.93,-0.94,0.02,0.15,MERCI,2026-01-02 10:09:58
32948,89,23,29,-4.29,1.08,2.02,-0.96,-0.01,0.15,MERCI,2026-01-02 10:09:58
33450,87,23,28,2.4,4.69,-0.67,-0.96,0,0.17,MERCI,2026-01-02 10:09:59
33971,90,23,28,-6.17,-1.39,-6.99,-0.98,-0.03,0.15,MERCI,2026-01-02 10:09:59
34527,87,23,30,-4.93,3.34,-1.65,-0.93,0,0.15,MERCI,2026-01-02 10:10:00
