timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
18583,24,100,34,-1.27,1.48,1.77,-0.96,-0.15,0.03,OK,2026-01-02 10:17:04
19083,26,100,26,-1.79,2.41,0.47,-0.97,-0.14,0.04,OK,2026-01-02 10:17:04
19585,28,100,31,-2.2,3.15,1.37,-0.97,-0.13,0.05,OK,2026-01-02 10:17:05
20089,31,100,32,-2.63,3.16,-0.26,-0.97,-0.16,0.03,OK,2026-01-02 10:17:05
20600,36,100,33,25.8,6.56,2.17,-0.98,-0.21,-0.07,OK,2026-01-02 10:17:06
21152,30,100,40,-1.08,-6.31,11.97,-1.02,-0.03,0.1,OK,2026-01-02 10:17:06
21652,0,100,28,23.91,7.42,16.56,-1,-0.03,0.05,OK,2026-01-02 10:17:07
22157,0,100,49,-4.2,2.03,-0.52,-0.98,0,0.03,OK,2026-01-02 10:17:07
22657,0,100,31,-0.18,4.27,2.35,-0.96,-0.01,0.11,OK,2026-01-02 10:17:08
23160,0,100,26,-3.86,4.89,-1.08,-0.99,-0.03,0.03,OK,2026-01-02 10:17:08
23671,0,100,26,-3.85,1.19,-1.62,-0.98,-0.01,0.04,OK,2026-01-02 10:17:09
24181,0,100,38,-4.38,2.38,-6.75,-0.95,-0.06,0.02,OK,2026-01-02 10:17:09
24692,0,100,37,-5.19,1.8,-2.56,-0.96,-0.07,0.09,OK,2026-01-02 10:17:10
25248,31,100,36,1.85,5.92,-0.41,-0.97,-0.1,0.08,OK,2026-01-02 10:17:10
25702,25,100,33,-9.88,-12.26,-0.03,-0.97,-0.14,0.07,OK,2026-01-02 10:17:11
26202,1,100,43,-0.76,4.9,0.55,-0.96,-0.11,0.09,OK,2026-01-02 10:17:11
26742,0,100,44,-0.5,1.73,1.28,-0.96,-0.1,0.07,OK,2026-01-02 10:17:12
27254,0,100,34,-1.04,3.1,-1.21,-0.98,-0.12,0.08,OK,2026-01-02 10:17:12
27768,0,100,45,-0.78,2.92,0.38,-0.96,-0.14,0.08,OK,2026-01-02 10:17:13
28281,0,100,44,0.67,4.58,-1.91,-0.96,-0.14,0.07,OK,2026-01-02 10:17:14
28791,0,100,37,-6.4,8.08,0.78,-0.95,-0.21,0.13,OK,2026-01-02 10:17:14
29343,0,100,47,-13.68,8.84,3.83,-0.97,-0.17,0.07,OK,2026-01-02 10:17:15
29845,0,100,77,19.34,63.02,31.88,-0.97,-0.03,-0.25,OK,2026-01-02 10:17:15
30345,0,100,72,9.04,-35.51,3.62,-0.99,-0.06,-0.13,OK,2026-01-02 10:17:16
30881,0,100,75,9.59,-3.88,-1.37,-0.99,-0.01,0.1,OK,2026-01-02 10:17:16
31383,0,100,76,-4.58,-0.63,1.82,-0.96,-0.07,0.1,OK,2026-01-02 10:17:17
31901,0,100,79,-9.27,5.44,6,-1,-0.07,0.13,OK,2026-01-02 10:17:17
32402,0,100,71,-26.46,46.93,29.53,-0.93,-0.05,-0.04,OK,2026-01-02 10:17:18
32904,0,100,87,-15.76,-11.79,-10.18,-1.01,-0.03,0.02,OK,2026-01-02 10:17:18
33404,0,100,91,-13.98,1.48,-4.85,-1,-0.13,0.13,OK,2026-01-02 10:17:19
33911,0,100,75,-3.18,2.18,-0.03,-0.98,-0.1,0.1,OK,2026-01-02 10:17:19
34420,0,100,87,3.66,1.22,2.78,-0.97,-0.1,0.1,OK,2026-01-02 10:17:20
34931,0,100,93,-0.78,3.36,-0.26,-0.97,-0.09,0.11,OK,2026-01-02 10:17:20
35452,0,100,79,-2.49,3.66,-0.23,-0.96,-0.1,0.11,OK,2026-01-02 10:17:21
35953,0,100,87,-1.16,0,0.82,-0.95,-0.09,0.12,OK,2026-01-02 10:17:21
36472,0,100,91,3.56,-6.81,5.98,-0.97,-0.11,0.13,OK,2026-01-02 10:17:22
36973,0,100,91,1.37,4.17,-5.4,-0.96,-0.16,0.07,OK,2026-01-02 10:17:22
37475,39,100,83,2.05,-4.75,-1.22,-0.91,-0.17,0.08,OK,2026-01-02 10:17:23
38011,17,100,89,-7.71,7.15,0.67,-0.98,-0.16,0.1,OK,2026-01-02 10:17:23
38513,0,100,83,-6.46,1.71,3.22,-0.96,-0.17,0.06,OK,2026-01-02 10:17:24
39038,0,100,89,-0.93,3.92,-0.89,-0.95,-0.17,0.03,OK,2026-01-02 10:17:24
39550,0,100,86,2.72,0.2,0.43,-0.96,-0.17,0.04,OK,2026-01-02 10:17:25
40053,0,100,82,-2.47,2.81,0.4,-0.96,-0.17,0.06,OK,2026-01-02 10:17:25
40562,0,100,82,-2.75,2.11,-2.84,-0.95,-0.19,0.04,OK,2026-01-02 10:17:26
41117,0,100,82,8.66,-7.8,2.23,-0.94,-0.13,0.02,OK,2026-01-02 10:17:26
41583,0,100,86,-12.76,11.62,7.51,-0.94,-0.07,0.01,OK,2026-01-02 10:17:27
42083,0,100,74,-6.44,2.98,-4.7,-0.97,-0.08,0,OK,2026-01-02 10:17:27
42611,0,100,74,0.58,-8.66,-8.93,-0.95,-0.07,-0.04,OK,2026-01-02 10:17:28
43135,38,100,66,-3.04,4.73,1.37,-0.94,-0.1,-0.02,OK,2026-01-02 10:17:28
43641,27,82,72,-9.91,1.18,1.53,-0.98,-0.08,-0.01,OK,2026-01-02 10:17:29
44193,5,100,76,7.63,21.54,15.02,-1.03,-0.04,-0.13,OK,2026-01-02 10:17:29
44695,0,100,72,-7.18,-4.18,4.93,-0.97,0,-0.1,OK,2026-01-02 10:17:30
45249,0,100,61,2.96,0.89,-1.18,-0.98,0.04,-0.09,OK,2026-01-02 10:17:30
45708,0,100,63,-3.62,3.15,-1.73,-0.98,0.05,-0.06,OK,2026-01-02 10:17:31
46210,0,100,72,-4.05,1.88,-0.96,-0.98,0.03,-0.06,OK,2026-01-02 10:17:31
46764,0,100,60,-4.37,-0.18,-0.41,-0.98,0.04,-0.06,OK,2026-01-02 10:17:32
47318,0,100,61,-2.21,-3.85,-1.85,-0.98,0.02,-0.03,OK,2026-01-02 10:17:33
47766,0,100,63,0.93,-4.15,0.17,-0.98,0.05,0.11,OK,2026-01-02 10:17:33
48266,0,100,64,1.51,3.86,0.79,-0.93,0.04,0.32,OK,2026-01-02 10:17:33
48767,0,100,68,-14.27,-2.21,5.57,-0.75,0.08,0.37,OK,2026-01-02 10:17:34
