timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
13483,86,80,54,2.21,52.73,25.44,-0.86,-0.13,0.83,STOP,2026-01-02 09:43:11
14008,89,78,50,2.02,16.06,9.94,-0.89,0.12,-0.04,STOP,2026-01-02 09:43:12
14564,88,78,54,-0.08,-6.69,-6.79,-0.95,0.08,0.05,STOP,2026-01-02 09:43:12
15066,86,73,51,-7.53,3.27,-2.53,-0.97,0.09,0.07,STOP,2026-01-02 09:43:13
15620,88,78,52,-2.46,2.47,0.08,-0.97,0.08,0.07,STOP,2026-01-02 09:43:13
16073,89,79,58,-0.41,10.21,3.1,-0.98,0.1,0.08,STOP,2026-01-02 09:43:14
16573,86,76,57,-1.54,2.03,1.28,-0.98,0.1,0.07,STOP,2026-01-02 09:43:14
17074,100,82,59,-1.5,3.66,2.55,-0.98,0.1,0.08,STOP,2026-01-02 09:43:15
17583,100,82,58,-7.45,28.15,3.82,-0.91,0.18,0.03,STOP,2026-01-02 09:43:15
18095,56,74,52,5.71,-5.22,-0.17,-0.98,0.12,-0.01,STOP,2026-01-02 09:43:16
18612,0,61,39,0.81,0.69,3.22,-0.99,0.14,-0.01,STOP,2026-01-02 09:43:16
19121,0,59,30,-3.39,-6.32,-4.41,-0.98,0.15,-0.01,STOP,2026-01-02 09:43:17
19623,0,60,28,-7.25,6.14,-5.3,-0.95,0.15,0.08,STOP,2026-01-02 09:43:17
20141,0,43,17,-1.37,-6.03,-0.17,-0.94,0.1,0.07,STOP,2026-01-02 09:43:18
20663,0,43,13,-2.63,0.37,-0.09,-0.97,0.11,0.13,STOP,2026-01-02 09:43:18
21163,0,42,14,-1.57,0.53,-1.4,-0.95,0.12,0.13,STOP,2026-01-02 09:43:19
21664,0,43,14,-3.33,-2.11,0.24,-0.95,0.13,0.15,STOP,2026-01-02 09:43:19
22219,0,44,27,-0.96,0.84,-2.75,-0.95,0.12,0.22,STOP,2026-01-02 09:43:20
22670,0,44,19,-2.66,2.85,-0.76,-0.94,0.11,0.22,STOP,2026-01-02 09:43:20
23223,0,44,15,-0.95,4.63,0.95,-0.94,0.12,0.22,STOP,2026-01-02 09:43:21
23729,0,44,18,-2.79,2.06,0.02,-0.95,0.11,0.21,STOP,2026-01-02 09:43:21
24283,0,39,17,-12.44,5.3,5.33,-0.93,0.09,0.23,STOP,2026-01-02 09:43:22
24783,0,42,15,-1.07,2.24,0.72,-0.93,0.08,0.22,STOP,2026-01-02 09:43:22
25283,14,61,41,-0.32,1.65,0.9,-0.97,0.06,0.26,STOP,2026-01-02 09:43:23
25783,8,62,42,2.35,21.85,8.49,-0.94,0.07,0.16,STOP,2026-01-02 09:43:23
26284,74,73,56,-10.99,8.38,-0.96,-0.98,0.07,0.21,STOP,2026-01-02 09:43:24
26840,68,73,52,2.98,19.21,2.85,-0.92,0.08,0.06,STOP,2026-01-02 09:43:25
27310,38,70,44,2.24,4.02,6.24,-1.01,0.12,0.01,STOP,2026-01-02 09:43:25
27822,0,42,7,-0.9,3.97,-1.48,-0.97,0.19,0.12,STOP,2026-01-02 09:43:25
28333,0,32,0,-0.92,-1.66,1.74,-0.95,0.16,0.15,STOP,2026-01-02 09:43:26
28849,0,59,28,0.76,-25.69,-11.18,-1.03,0.1,0.27,STOP,2026-01-02 09:43:26
29358,0,30,0,-7.51,-35.02,-11.5,-0.7,0,0.46,STOP,2026-01-02 09:43:27
29882,0,14,0,6.5,-14.11,-4.14,-0.72,0.02,0.58,STOP,2026-01-02 09:43:27
30438,0,44,21,-9.8,43.57,19.37,-0.78,-0.01,0.73,STOP,2026-01-02 09:43:28
30897,0,44,28,1.27,57.25,12.24,-0.96,0.07,0.04,STOP,2026-01-02 09:43:29
31408,9,63,35,-15.66,14.24,4,-1.25,0.08,-0.06,STOP,2026-01-02 09:43:29
31961,0,62,35,4.43,-8.46,-6.31,-1.08,0.1,-0.06,STOP,2026-01-02 09:43:30
32461,2,63,33,4.12,9.65,0.99,-0.97,0.06,-0.11,STOP,2026-01-02 09:43:30
32963,0,62,34,0.93,-4.08,-1.18,-0.95,0.08,-0.12,STOP,2026-01-02 09:43:31
33465,14,62,42,-7.28,0.4,-5.45,-0.99,0.05,0.01,STOP,2026-01-02 09:43:31
33972,57,70,45,-8.24,1.33,-0.5,-0.97,0.01,-0.01,STOP,2026-01-02 09:43:32
34521,78,73,47,-2.21,-0.61,2.82,-0.98,0.04,-0.02,STOP,2026-01-02 09:43:32
35022,86,75,52,1.62,0.46,4.2,-0.97,0.02,-0.01,STOP,2026-01-02 09:43:33
35574,71,71,49,-0.29,1.6,0.95,-0.99,0.02,-0.01,STOP,2026-01-02 09:43:33
36123,78,72,48,-0.4,7.31,2.6,-0.97,0.02,-0.01,STOP,2026-01-02 09:43:34
36632,14,65,41,-4.81,-0.17,-1.05,-0.98,0.05,-0.02,STOP,2026-01-02 09:43:34
37146,82,73,48,-2.15,3.71,0.23,-0.98,0.03,-0.02,STOP,2026-01-02 09:43:35
37646,6,63,35,-3.15,-0.76,0.92,-0.99,0.06,-0.02,STOP,2026-01-02 09:43:35
38172,82,74,53,-1.62,5.25,0.38,-0.98,0.05,-0.03,STOP,2026-01-02 09:43:36
38724,86,75,51,-0.06,3.71,-1.85,-0.99,0.05,-0.05,STOP,2026-01-02 09:43:37
39226,90,75,57,0.32,2.72,0.93,-0.97,0.05,-0.03,STOP,2026-01-02 09:43:37
39781,97,75,54,-8.18,4.09,-3.89,-0.98,0.05,-0.01,STOP,2026-01-02 09:43:37
40232,100,76,56,-2.34,0.32,-2.96,-0.98,0.08,-0.01,STOP,2026-01-02 09:43:38
40785,100,74,55,-0.18,2.47,2.49,-0.97,0.08,-0.06,STOP,2026-01-02 09:43:38
41342,100,76,55,-1.5,1.13,-0.99,-0.98,0.06,-0.04,STOP,2026-01-02 09:43:39
41853,100,74,55,-0.34,0.7,-0.52,-0.97,0.07,-0.03,STOP,2026-01-02 09:43:39
42401,100,77,55,-1.4,2.44,1.16,-0.99,0.08,-0.04,STOP,2026-01-02 09:43:40
42901,99,74,55,-0.78,-4.73,1.33,-1,0.08,-0.01,STOP,2026-01-02 09:43:40
43454,100,75,56,-1.98,2.21,2.82,-0.98,0.08,-0.02,STOP,2026-01-02 09:43:41
43955,100,74,47,-3.16,6.99,2.2,-0.98,0.09,0.01,STOP,2026-01-02 09:43:42
44511,100,76,50,-2.21,-0.89,0.76,-0.98,0.08,0,STOP,2026-01-02 09:43:42
44957,100,74,48,-1.6,1.79,-0.52,-0.98,0.09,0.02,STOP,2026-01-02 09:43:43
45512,100,73,50,-3.98,2.82,0.11,-0.97,0.08,0,STOP,2026-01-02 09:43:43
45963,100,71,45,-4.31,1.37,3.69,-0.97,0.07,0.01,STOP,2026-01-02 09:43:44
46512,100,77,50,-0.24,2.99,0.18,-0.98,0.1,0.01,STOP,2026-01-02 09:43:44
47062,100,77,49,-3.77,2.03,-0.55,-0.96,0.08,0,STOP,2026-01-02 09:43:45
47564,100,75,52,5.24,8.58,2.75,-0.97,0.12,0.03,STOP,2026-01-02 09:43:45
48102,100,74,52,-2.89,3.76,0.37,-0.96,0.12,0.01,STOP,2026-01-02 09:43:46
48613,100,76,53,-2.99,3.36,-1.3,-0.96,0.11,0.01,STOP,2026-01-02 09:43:46
49114,100,76,52,-2.63,1.91,0.32,-0.97,0.1,0,STOP,2026-01-02 09:43:47
49629,100,74,52,-0.03,1.91,1.07,-0.96,0.1,0,STOP,2026-01-02 09:43:47
50152,100,74,55,-3.51,2.18,0.12,-0.98,0.11,0.01,STOP,2026-01-02 09:43:48
50703,100,74,54,-2.63,3.45,0.02,-0.99,0.1,0.02,STOP,2026-01-02 09:43:48
51203,100,75,55,-3.07,3.13,0.11,-0.97,0.09,0.01,STOP,2026-01-02 09:43:49
51752,100,77,55,-2.76,0.81,-2,-0.97,0.09,0.02,STOP,2026-01-02 09:43:49
52303,100,75,52,-4.44,2.47,0.49,-0.98,0.1,0.01,STOP,2026-01-02 09:43:50
52812,100,75,56,-1.47,0.66,1.59,-0.99,0.1,0.02,STOP,2026-01-02 09:43:51
53321,100,75,55,-2.32,5.24,-1.37,-0.97,0.08,0,STOP,2026-01-02 09:43:51
53825,100,73,56,-1.28,2.95,1.21,-0.99,0.1,0.01,STOP,2026-01-02 09:43:51
54326,100,75,55,-2.9,3.73,0.4,-0.98,0.1,0,STOP,2026-01-02 09:43:52
54862,100,73,55,-2.69,2.15,-1.04,-0.96,0.09,-0.01,STOP,2026-01-02 09:43:52
55373,100,74,55,-1.54,2.64,-1.02,-0.98,0.1,0,STOP,2026-01-02 09:43:53
55880,100,75,56,-4.92,-0.78,-0.05,-0.97,0.08,0,STOP,2026-01-02 09:43:53
56434,100,77,58,-6.5,0.35,2.43,-0.97,0.08,0.01,STOP,2026-01-02 09:43:54
56935,100,72,51,-2.95,3.05,-0.55,-0.99,0.08,0,STOP,2026-01-02 09:43:55
57437,100,73,52,-2.49,2.9,-0.84,-0.98,0.09,-0.01,STOP,2026-01-02 09:43:55
57991,100,74,52,-4.95,0.06,-2.63,-0.96,0.08,0.02,STOP,2026-01-02 09:43:56
58545,100,72,55,-1.1,3.86,3.36,-0.99,0.09,0,STOP,2026-01-02 09:43:56
59095,100,75,61,-4.53,4.31,-1.3,-0.98,0.1,0.01,STOP,2026-01-02 09:43:57
59651,100,74,56,-1.73,3.97,0,-0.96,0.11,0.01,STOP,2026-01-02 09:43:57
60098,100,72,55,-0.9,1.51,0.43,-0.98,0.11,-0.01,STOP,2026-01-02 09:43:58
60600,100,72,59,-2.09,2.02,0.26,-0.97,0.11,-0.01,STOP,2026-01-02 09:43:58
61100,100,73,59,-2.35,4.18,0.78,-0.96,0.12,-0.01,STOP,2026-01-02 09:43:59
61622,100,74,60,-3.8,3.27,1.51,-0.98,0.11,-0.01,STOP,2026-01-02 09:43:59
62130,100,73,56,-1.22,0.96,0.92,-0.97,0.12,-0.01,STOP,2026-01-02 09:44:00
62642,100,72,56,-0.12,2.55,-0.32,-0.98,0.11,-0.02,STOP,2026-01-02 09:44:00
63192,100,74,60,-1.74,3.13,0.06,-0.98,0.1,-0.01,STOP,2026-01-02 09:44:01
63744,100,70,56,-3.27,1.63,1.34,-0.98,0.11,-0.02,STOP,2026-01-02 09:44:01
64245,100,73,58,-0.82,2.2,1.13,-0.98,0.11,-0.03,STOP,2026-01-02 09:44:02
64784,100,72,57,11.25,8.06,4.98,-0.98,0.1,-0.03,STOP,2026-01-02 09:44:02
65300,100,73,60,-3.89,2.17,0.06,-0.97,0.12,-0.04,STOP,2026-01-02 09:44:03
65823,100,72,61,-3.04,3.56,-0.31,-0.98,0.13,-0.03,STOP,2026-01-02 09:44:03
66326,100,69,61,-0.89,2.35,1.19,-0.98,0.1,-0.04,STOP,2026-01-02 09:44:04
66839,100,72,60,-3.11,1.89,0.24,-0.98,0.11,-0.04,STOP,2026-01-02 09:44:04
67341,100,72,61,-1.44,2.29,-0.15,-0.98,0.11,-0.04,STOP,2026-01-02 09:44:05
67894,100,73,59,-0.06,3.39,1.18,-0.98,0.11,-0.04,STOP,2026-01-02 09:44:06
68396,100,70,56,-2.61,0.69,0.02,-0.97,0.13,-0.07,STOP,2026-01-02 09:44:06
68896,100,74,60,-0.73,3.13,0.64,-0.97,0.12,-0.04,STOP,2026-01-02 09:44:06
69397,100,71,59,-2.81,1.89,1.21,-0.97,0.15,-0.04,STOP,2026-01-02 09:44:07
69952,100,73,59,-4.17,-1.01,0.9,-0.97,0.15,-0.02,STOP,2026-01-02 09:44:08
70501,100,71,59,-4.14,5.92,1.86,-0.96,0.14,-0.05,STOP,2026-01-02 09:44:08
71043,100,72,59,2.29,-2.35,0.58,-0.99,0.1,0.02,STOP,2026-01-02 09:44:09
71553,100,72,56,-2.44,0.2,-0.76,-0.94,0.12,-0.01,STOP,2026-01-02 09:44:09
72063,100,72,58,-3.08,1.02,0.14,-0.98,0.15,0.07,STOP,2026-01-02 09:44:10
72582,100,73,58,-2.09,2.24,-0.52,-0.98,0.11,0.04,STOP,2026-01-02 09:44:10
73084,100,73,60,-0.55,1.82,1.62,-0.97,0.12,0.04,STOP,2026-01-02 09:44:11
73608,100,70,58,-0.67,2.6,0,-0.98,0.12,0.05,STOP,2026-01-02 09:44:11
74113,100,72,58,-1.76,2.7,0.55,-0.98,0.12,0.05,STOP,2026-01-02 09:44:12
74623,100,72,59,-2.24,2.66,0.49,-0.97,0.13,0.04,STOP,2026-01-02 09:44:12
75130,100,70,60,-2.49,3.45,-0.27,-0.98,0.14,0.05,STOP,2026-01-02 09:44:13
75631,100,73,56,-1.25,3.08,1.01,-0.96,0.13,0.04,STOP,2026-01-02 09:44:13
76187,100,70,58,2.93,4.85,4,-0.99,0.16,0.03,STOP,2026-01-02 09:44:14
76742,100,70,56,-10.37,5.92,0.85,-0.97,0.18,0.02,STOP,2026-01-02 09:44:14
77192,100,71,58,7.1,22.64,-22.67,-0.9,0.06,0.11,STOP,2026-01-02 09:44:15
77693,100,70,56,-1.13,-35.31,-20.15,-1.03,0.01,-0.02,STOP,2026-01-02 09:44:15
78203,100,72,56,-5.77,10.67,3.21,-0.98,0.07,0.05,STOP,2026-01-02 09:44:16
78718,100,74,55,0.66,0.23,-0.92,-0.98,0.07,0.03,STOP,2026-01-02 09:44:16
79229,100,75,53,-2,-1.76,-0.89,-0.98,0.07,0.05,STOP,2026-01-02 09:44:17
79785,100,74,52,-3.65,3.45,-0.27,-0.98,0.06,0.07,STOP,2026-01-02 09:44:17
80285,100,76,56,-0.24,-0.09,2.56,-0.97,0.04,0.06,STOP,2026-01-02 09:44:18
80787,100,71,55,-3.69,-1.97,1.95,-0.94,0.08,0.08,STOP,2026-01-02 09:44:19
81287,100,74,55,2.26,8.29,-1.94,-0.95,0.11,0.1,STOP,2026-01-02 09:44:19
81842,100,72,54,-4.75,1.95,-1.94,-1,0.07,0.14,STOP,2026-01-02 09:44:19
82294,100,75,57,-3.73,3.13,1.65,-0.97,0.06,0.11,STOP,2026-01-02 09:44:20
82814,100,73,59,-0.63,2.06,-0.05,-0.96,0.05,0.15,STOP,2026-01-02 09:44:20
83316,100,74,58,-1.77,0.34,-0.38,-0.96,0.04,0.16,STOP,2026-01-02 09:44:21
83817,100,75,56,-4.75,3.27,0.38,-0.95,0.04,0.15,STOP,2026-01-02 09:44:21
84364,100,73,59,0.66,5.05,3.3,-0.96,0.03,0.12,STOP,2026-01-02 09:44:22
84864,100,74,61,12.56,29.36,8.23,-0.93,0.08,0.02,STOP,2026-01-02 09:44:22
85373,100,72,61,-2.52,2.24,1.88,-0.96,0.09,0.13,STOP,2026-01-02 09:44:23
