timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
60253,28,97,70,-2.11,1.8,-0.14,-0.87,-0.41,-0.11,A,2026-01-02 09:46:35
60786,29,95,75,-1.8,1.74,-0.08,-0.88,-0.43,-0.11,A,2026-01-02 09:46:36
61295,29,97,75,0.99,-1.18,1.97,-0.89,-0.41,-0.09,A,2026-01-02 09:46:36
61796,28,96,72,-2.05,2.92,0.63,-0.89,-0.42,-0.08,A,2026-01-02 09:46:37
62346,28,95,76,1.04,6.27,14.82,-0.88,-0.4,-0.18,A,2026-01-02 09:46:37
62847,25,98,78,4.47,-2.17,3.77,-0.92,-0.28,-0.11,A,2026-01-02 09:46:38
63347,27,97,78,-2.84,1.68,-5.39,-0.9,-0.3,-0.14,A,2026-01-02 09:46:38
63900,29,97,80,-2.08,4.49,-1.1,-0.92,-0.37,-0.15,A,2026-01-02 09:46:39
64400,29,97,78,-0.17,-1.53,-3.42,-0.92,-0.32,-0.13,A,2026-01-02 09:46:39
64901,27,92,78,-1.86,2.47,0.29,-0.91,-0.37,-0.11,A,2026-01-02 09:46:40
65402,28,96,78,-3.44,1.11,-0.46,-0.9,-0.36,-0.14,A,2026-01-02 09:46:40
65958,29,98,76,-2.06,0.24,-0.31,-0.91,-0.36,-0.13,A,2026-01-02 09:46:41
66460,26,95,78,-1.62,2.14,-0.4,-0.91,-0.36,-0.13,A,2026-01-02 09:46:42
66961,27,97,78,0.75,0.99,1.39,-0.91,-0.35,-0.12,A,2026-01-02 09:46:42
67461,28,97,78,-3.11,3.05,-0.2,-0.92,-0.35,-0.13,A,2026-01-02 09:46:42
67962,29,98,78,-7.11,1.62,2.73,-0.92,-0.34,-0.1,A,2026-01-02 09:46:43
68516,28,97,79,3.45,7.86,-0.27,-0.86,-0.34,-0.2,A,2026-01-02 09:46:44
68975,29,98,80,-1.11,9.08,2.81,-0.9,-0.28,-0.16,A,2026-01-02 09:46:44
69476,29,97,78,-3.77,-1.48,-0.06,-0.93,-0.33,-0.17,A,2026-01-02 09:46:45
69997,28,97,78,-3.15,11.6,-11.27,-0.91,-0.3,-0.21,A,2026-01-02 09:46:45
70500,28,97,78,1.8,0.82,5.25,-0.95,-0.36,-0.13,A,2026-01-02 09:46:45
71055,28,94,79,-5.36,8.63,0.49,-0.94,-0.36,-0.15,A,2026-01-02 09:46:46
71519,26,95,76,3.15,-0.9,0.18,-0.93,-0.38,-0.13,A,2026-01-02 09:46:47
72047,29,98,80,-1.85,0.79,-6.41,-0.91,-0.31,-0.19,A,2026-01-02 09:46:47
72554,28,98,78,-3.54,5.42,-2.49,-0.9,-0.34,-0.15,A,2026-01-02 09:46:48
73067,29,98,80,-1.5,4.29,-0.14,-0.9,-0.33,-0.16,A,2026-01-02 09:46:48
73587,29,98,80,-0.66,4.72,-0.41,-0.93,-0.36,-0.16,A,2026-01-02 09:46:49
74089,29,98,80,-1.24,2.87,-1.39,-0.88,-0.32,-0.18,A,2026-01-02 09:46:49
74590,29,97,78,-4.69,4.6,-2.75,-0.93,-0.33,-0.19,A,2026-01-02 09:46:50
75114,29,98,78,-7.11,-0.76,0.69,-0.95,-0.37,-0.18,A,2026-01-02 09:46:50
75627,30,98,79,-2.81,2.73,3.08,-0.92,-0.36,-0.19,A,2026-01-02 09:46:51
76147,29,98,80,8.17,-2.98,7.53,-0.92,-0.35,-0.19,A,2026-01-02 09:46:51
76691,29,96,79,-138.5,-71.86,-19.73,-0.74,-0.47,-0.53,A,2026-01-02 09:46:52
77246,20,89,72,-3.04,6.56,3.05,-0.94,-0.05,-0.32,A,2026-01-02 09:46:52
77693,22,93,77,9.45,2.64,-5.62,-0.91,-0.11,-0.35,A,2026-01-02 09:46:53
78195,25,95,78,289.65,45.91,84.11,-0.85,-0.23,-0.28,A,2026-01-02 09:46:53
78749,29,93,80,9.54,-65.08,-11.63,-0.86,0.23,0,A,2026-01-02 09:46:54
79251,29,96,80,-2.69,1.31,0.75,-0.95,0.06,0.1,A,2026-01-02 09:46:54
79753,28,93,80,-2.66,3.59,-2.32,-0.96,0.04,0.14,A,2026-01-02 09:46:55
80255,28,96,78,-3.33,1.16,1.45,-0.97,0.03,0.13,A,2026-01-02 09:46:55
80756,27,94,80,-2.17,0.21,-0.12,-0.95,0.04,0.13,A,2026-01-02 09:46:56
81267,29,95,80,-4.15,5.47,1.16,-0.97,0.03,0.1,A,2026-01-02 09:46:56
81773,28,95,80,-9.37,0,-3.92,-0.93,0.04,0.11,A,2026-01-02 09:46:57
82328,28,95,79,-0.89,8.29,5.13,-0.85,0,0.3,A,2026-01-02 09:46:57
82830,26,94,80,-5.56,-14,28.08,-0.72,0.06,-0.02,A,2026-01-02 09:46:58
83330,28,93,79,-18.52,36.34,-17.66,-1.02,-0.05,0.16,A,2026-01-02 09:46:58
