timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
625380,1,66,71,-1.66,2.12,-0.02,1.01,-0.1,-0.08,B,2026-01-10 11:26:57
625881,0,68,71,-1.63,2.75,1.02,1.02,-0.11,-0.1,B,2026-01-10 11:26:58
626397,0,68,72,-1.36,2.78,0.64,1.02,-0.1,-0.1,B,2026-01-10 11:26:58
626897,1,67,71,-1.89,0.06,-0.12,1.01,-0.12,-0.09,B,2026-01-10 11:26:59
627434,4,70,74,-1.45,0.61,1.56,1.01,-0.12,-0.08,B,2026-01-10 11:26:59
627977,5,68,73,-1.4,4.55,0.64,1.01,-0.1,-0.08,B,2026-01-10 11:27:00
628503,0,65,70,-0.75,2.93,1.05,1.01,-0.1,-0.03,B,2026-01-10 11:27:00
629045,0,68,71,-1.45,-0.37,1.19,1.01,-0.1,-0.04,B,2026-01-10 11:27:01
629574,5,70,74,-1.19,2.66,0.92,1.02,-0.1,-0.07,B,2026-01-10 11:27:01
630076,4,65,71,-2.27,3.73,0.6,1.01,-0.1,-0.07,B,2026-01-10 11:27:02
630578,5,68,74,-1.47,3.33,0.66,1.02,-0.1,-0.07,B,2026-01-10 11:27:02
631103,3,68,72,-1.22,3.27,-0.09,1.02,-0.1,-0.07,B,2026-01-10 11:27:03
631604,4,70,73,-1.62,1.47,0.78,1.02,-0.1,-0.07,B,2026-01-10 11:27:04
632213,4,67,70,-1.73,2.37,0.67,1.02,-0.09,-0.07,B,2026-01-10 11:27:04
632660,0,67,70,-1.47,2.17,0.5,1.02,-0.09,-0.07,B,2026-01-10 11:27:04
633160,5,65,69,-1.04,3.65,0.11,1.01,-0.1,-0.07,B,2026-01-10 11:27:05
633879,5,66,68,-0.78,1.34,1.27,1.02,-0.09,-0.06,B,2026-01-10 11:27:06
634597,5,65,68,-1.42,2.43,0.43,1.02,-0.09,-0.08,B,2026-01-10 11:27:06
635091,4,68,73,-1.34,1.71,0.6,1.02,-0.1,-0.09,B,2026-01-10 11:27:07
635591,6,70,71,-1.79,3.24,1.22,1.02,-0.09,-0.07,B,2026-01-10 11:27:07
636091,4,70,71,-1.28,1.19,0.7,1.02,-0.1,-0.09,B,2026-01-10 11:27:08
636627,3,68,71,-1.5,2.29,0.69,1.02,-0.1,-0.08,B,2026-01-10 11:27:08
637148,4,68,74,-0.66,2.14,1.36,1.02,-0.1,-0.09,B,2026-01-10 11:27:09
637657,4,70,73,-1.8,4.06,0.26,1.02,-0.11,-0.1,B,2026-01-10 11:27:10
638252,2,68,73,-1.15,1.62,0.14,1.02,-0.1,-0.09,B,2026-01-10 11:27:10
638697,3,70,73,-1.98,2.73,0.96,1.01,-0.1,-0.08,B,2026-01-10 11:27:10
639198,0,70,72,-1.8,2.67,0.37,1.01,-0.1,-0.08,B,2026-01-10 11:27:11
639698,0,67,71,-1.53,1.94,-0.52,1.02,-0.1,-0.1,B,2026-01-10 11:27:12
640236,0,68,70,-1.68,2.17,0.37,1.01,-0.09,-0.1,B,2026-01-10 11:27:12
640738,2,67,72,-1.82,1.3,0.7,1.02,-0.1,-0.1,B,2026-01-10 11:27:13
641416,2,67,72,-0.61,2.43,0.96,1.02,-0.09,-0.1,B,2026-01-10 11:27:13
641861,3,70,71,-1.04,2.02,0.73,1.02,-0.09,-0.09,B,2026-01-10 11:27:14
642382,4,68,71,-1.79,3.3,0.46,1.01,-0.09,-0.09,B,2026-01-10 11:27:14
642893,5,72,73,-1.71,1.63,0.73,1.01,-0.11,-0.09,B,2026-01-10 11:27:15
643394,2,68,71,-1.48,2.03,1.05,1.02,-0.1,-0.09,B,2026-01-10 11:27:15
643895,3,68,72,-1.22,3.13,0.85,1.02,-0.1,-0.09,B,2026-01-10 11:27:16
644406,2,70,71,-1.11,2.64,0.55,1.02,-0.1,-0.09,B,2026-01-10 11:27:16
644915,4,68,72,-1.59,1.19,1.28,1.02,-0.1,-0.1,B,2026-01-10 11:27:17
645450,1,70,74,-1.15,1.71,0.4,1.02,-0.09,-0.09,B,2026-01-10 11:27:17
645974,4,71,74,-1.25,2.87,0.56,1.02,-0.1,-0.1,B,2026-01-10 11:27:18
646622,2,70,73,-1.59,1.45,1.02,1.01,-0.07,-0.08,B,2026-01-10 11:27:18
647098,5,71,73,-3.1,2.11,0.37,1.01,-0.12,-0.09,B,2026-01-10 11:27:19
647633,5,69,74,-1.42,2.93,0.95,1.02,-0.08,-0.09,B,2026-01-10 11:27:21
649997,5,69,74,-1.62,1.83,0.18,1.02,-0.09,-0.12,B,2026-01-10 11:27:22
650442,1,67,70,-1.25,0.23,1.54,1.01,-0.12,-0.1,B,2026-01-10 11:27:22
650948,3,70,72,-1.36,2.93,0.44,1.01,-0.09,-0.11,B,2026-01-10 11:27:23
651547,2,71,72,-0.66,0.06,1.24,1.01,-0.11,-0.12,B,2026-01-10 11:27:23
651996,4,71,72,-1.65,2.4,0.72,1.02,-0.09,-0.1,B,2026-01-10 11:27:24
652506,0,70,70,-1.8,1.65,1.42,1.01,-0.09,-0.12,B,2026-01-10 11:27:24
653015,5,73,74,-0.7,2.21,-0.06,1.02,-0.09,-0.11,B,2026-01-10 11:27:25
653516,0,71,74,-1.37,2.21,0.56,1.02,-0.1,-0.1,B,2026-01-10 11:27:26
654059,0,71,68,-1.59,0.81,0.66,1.01,-0.11,-0.11,B,2026-01-10 11:27:26
654560,4,71,72,-1.31,2.7,0.56,1.01,-0.09,-0.07,B,2026-01-10 11:27:29
657804,4,70,71,-1.63,6.27,2.03,1.02,-0.07,-0.07,B,2026-01-10 11:27:30
658278,2,68,73,-1.82,4.21,-0.38,1.02,-0.09,-0.11,B,2026-01-10 11:27:30
658827,2,73,74,-1.1,1.05,2.32,1.02,-0.09,-0.07,B,2026-01-10 11:27:31
659350,8,72,74,-0.6,-2.06,-0.32,1.01,-0.12,-0.07,B,2026-01-10 11:27:31
659850,5,71,73,-2.05,0.38,1.4,1.02,-0.08,-0.1,B,2026-01-10 11:27:32
660383,3,70,70,-2.09,2.99,-1.69,1.02,-0.1,-0.1,B,2026-01-10 11:27:32
660910,2,70,71,-1.76,0.35,1.4,1.02,-0.08,-0.1,B,2026-01-10 11:27:33
661410,1,70,67,-1.1,1.18,2.03,1.02,-0.09,-0.09,B,2026-01-10 11:27:33
661912,2,70,71,-0.98,1.45,0.34,1.02,-0.1,-0.09,B,2026-01-10 11:27:34
662436,4,70,72,-1.5,2.56,0.78,1.02,-0.06,-0.09,B,2026-01-10 11:27:34
662938,2,70,74,-1.27,2.2,0.21,1.02,-0.1,-0.09,B,2026-01-10 11:27:35
663449,0,70,71,-1.51,5.25,0.35,1.02,-0.09,-0.1,B,2026-01-10 11:27:35
663969,5,67,72,-2.85,5.01,-2.78,1.02,-0.1,-0.08,B,2026-01-10 11:27:36
664470,7,70,72,-1.19,1.86,0.03,1.02,-0.08,-0.07,B,2026-01-10 11:27:36
664970,9,68,72,-1.19,1.4,1.91,1.02,-0.1,-0.12,B,2026-01-10 11:27:37
665482,7,67,71,-1.31,1.48,0.43,1.02,-0.09,-0.1,B,2026-01-10 11:27:37
