timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
18658,58,48,86,11.69,10.31,-10.14,-0.81,0.16,0.47,C,2026-01-02 09:57:49
19160,56,52,91,-2.29,1.89,2.87,-0.86,0.18,0.52,C,2026-01-02 09:57:49
19662,54,47,86,-6.41,1.89,1.04,-0.85,0.16,0.47,C,2026-01-02 09:57:50
20162,56,47,86,-1.48,5.53,-0.12,-0.84,0.16,0.45,C,2026-01-02 09:57:50
20716,56,52,86,-8.11,-1.76,0,-0.84,0.18,0.42,C,2026-01-02 09:57:51
21218,57,47,91,-2.7,2.14,0.12,-0.83,0.16,0.44,C,2026-01-02 09:57:51
21773,58,52,88,2.38,6.14,-1.02,-0.85,0.2,0.47,C,2026-01-02 09:57:52
22220,61,50,84,8.4,2.69,0.08,-0.85,0.16,0.38,C,2026-01-02 09:57:52
22774,64,67,82,4.56,-0.82,3.53,-0.82,0.22,0.47,C,2026-01-02 09:57:53
23324,66,64,95,19.77,23.56,-9.8,-0.83,0.31,0.43,C,2026-01-02 09:57:53
23876,69,75,96,16.18,15.47,-0.46,-0.87,0.13,0.23,C,2026-01-02 09:57:54
24376,69,72,93,2.58,-5.98,-3.02,-0.93,0.25,0.17,C,2026-01-02 09:57:54
24876,75,75,98,-3.65,1.08,1.73,-0.91,0.18,0.25,C,2026-01-02 09:57:55
25377,75,80,100,-5.04,-5.45,1.22,-0.9,0.19,0.28,C,2026-01-02 09:57:55
25879,75,77,98,-4.69,5.44,-1.4,-0.9,0.2,0.31,C,2026-01-02 09:57:56
26405,76,86,100,-3.53,2.49,-0.69,-0.91,0.18,0.29,C,2026-01-02 09:57:56
26953,78,77,97,-6.12,16,-7.76,-0.96,0.14,0.31,C,2026-01-02 09:57:57
27453,76,84,99,0.08,4.81,-1.24,-0.92,0.15,0.26,C,2026-01-02 09:57:58
27955,75,81,99,-0.98,0.02,3.85,-0.93,0.14,0.28,C,2026-01-02 09:57:58
28456,76,78,100,-2.56,2.53,0.14,-0.92,0.13,0.29,C,2026-01-02 09:57:59
28965,79,83,100,-0.55,-1.92,5.57,-0.91,0.14,0.26,C,2026-01-02 09:57:59
29517,77,83,99,0.12,4.17,-1.47,-0.9,0.17,0.27,C,2026-01-02 09:58:00
30019,77,77,97,-4.67,0.24,-0.99,-0.91,0.19,0.35,C,2026-01-02 09:58:00
30521,78,73,99,-1.77,6.12,0.89,-0.86,0.2,0.34,C,2026-01-02 09:58:01
31022,75,73,100,0.14,1.76,1.45,-0.89,0.16,0.33,C,2026-01-02 09:58:01
31523,75,83,99,-2.49,3.34,-0.85,-0.9,0.2,0.31,C,2026-01-02 09:58:02
32035,80,72,93,-2.32,1.24,-0.37,-0.91,0.17,0.32,C,2026-01-02 09:58:02
32541,79,81,100,-1.91,3.07,2.05,-0.89,0.16,0.31,C,2026-01-02 09:58:03
33055,78,81,98,-3.57,1.57,-1.4,-0.91,0.17,0.32,C,2026-01-02 09:58:03
33562,76,77,99,-0.7,0.66,0.31,-0.91,0.15,0.33,C,2026-01-02 09:58:04
34117,75,72,100,-1.98,1.59,0.49,-0.9,0.15,0.34,C,2026-01-02 09:58:04
34619,78,72,97,3.48,7.19,2.21,-0.9,0.16,0.33,C,2026-01-02 09:58:05
35120,76,72,100,-0.09,2.03,1.95,-0.88,0.15,0.33,C,2026-01-02 09:58:05
35665,77,80,100,-0.47,4.46,2.14,-0.91,0.15,0.32,C,2026-01-02 09:58:06
36216,75,77,100,0.49,1.98,5.56,-0.91,0.21,0.33,C,2026-01-02 09:58:06
36768,75,72,100,-1.01,14.32,-0.41,-0.95,0.16,0.22,C,2026-01-02 09:58:07
37323,75,73,100,-6.12,-1.74,10.96,-0.89,0.15,0.17,C,2026-01-02 09:58:07
37775,78,73,97,-5.83,-5.44,-1.21,-0.95,0.1,0.41,C,2026-01-02 09:58:08
38326,77,72,100,2.03,2.34,6.49,-0.87,0.11,0.35,C,2026-01-02 09:58:08
38828,77,75,100,-1.08,4.06,1.92,-0.89,0.14,0.32,C,2026-01-02 09:58:09
39329,75,75,100,-2.17,1.47,-1.18,-0.89,0.15,0.29,C,2026-01-02 09:58:09
39830,76,72,100,-0.03,1.16,-2.76,-0.91,0.12,0.33,C,2026-01-02 09:58:10
40331,75,83,97,-0.43,1.76,1.15,-0.91,0.12,0.33,C,2026-01-02 09:58:10
40844,76,63,97,-0.67,1.1,2.49,-0.92,0.14,0.33,C,2026-01-02 09:58:11
41346,75,72,99,-3.24,2.26,1.1,-0.91,0.13,0.33,C,2026-01-02 09:58:11
41846,76,72,97,-2.05,3.69,-0.24,-0.91,0.14,0.33,C,2026-01-02 09:58:12
42346,75,70,97,-3.51,2.61,0.7,-0.9,0.11,0.32,C,2026-01-02 09:58:12
42847,75,67,98,-0.32,3.47,0.26,-0.9,0.13,0.32,C,2026-01-02 09:58:13
43347,75,77,100,-7.83,3.39,2.72,-0.89,0.12,0.32,C,2026-01-02 09:58:13
43847,76,63,100,-1.44,3.16,1.18,-0.91,0.13,0.34,C,2026-01-02 09:58:14
44347,74,69,99,-1.82,0,0.53,-0.91,0.13,0.32,C,2026-01-02 09:58:14
44847,73,52,96,1.11,5.77,0.26,-0.9,0.12,0.32,C,2026-01-02 09:58:15
45401,76,63,97,-0.06,4.41,1.04,-0.9,0.14,0.31,C,2026-01-02 09:58:15
45855,75,55,100,-0.27,6.92,-3.98,-0.88,0.19,0.33,C,2026-01-02 09:58:16
46406,73,64,95,-1.86,1.13,-0.58,-0.91,0.14,0.27,C,2026-01-02 09:58:16
46906,76,52,92,-3.33,2.87,-1.4,-0.9,0.14,0.29,C,2026-01-02 09:58:17
47407,75,58,97,2.64,4.46,-0.27,-0.91,0.12,0.33,C,2026-01-02 09:58:17
47907,76,66,98,-2.7,2.17,2.56,-0.91,0.11,0.3,C,2026-01-02 09:58:18
48416,76,63,97,-2.46,1.5,0.31,-0.9,0.12,0.3,C,2026-01-02 09:58:18
48921,75,56,96,-1.07,3.57,-0.81,-0.93,0.12,0.31,C,2026-01-02 09:58:19
49477,76,50,91,-3.45,2.5,1.92,-0.9,0.1,0.29,C,2026-01-02 09:58:20
50033,66,45,95,0.87,2.87,1.4,-0.91,0.11,0.31,C,2026-01-02 09:58:20
50482,66,42,93,-0.4,4.43,0.75,-0.92,0.12,0.32,C,2026-01-02 09:58:21
51037,68,44,97,2.11,1.11,4.9,-0.89,0.13,0.31,C,2026-01-02 09:58:21
51592,68,47,95,0.69,1.34,0.9,-0.91,0.11,0.32,C,2026-01-02 09:58:22
52044,69,45,96,-0.52,2.98,0.27,-0.91,0.1,0.31,C,2026-01-02 09:58:22
52545,67,45,93,-2.31,3.63,1.11,-0.9,0.12,0.33,C,2026-01-02 09:58:23
53045,66,45,97,-1.88,2.87,1.21,-0.9,0.11,0.33,C,2026-01-02 09:58:23
53547,67,47,94,-2.6,1.82,1.16,-0.9,0.12,0.32,C,2026-01-02 09:58:24
54049,64,47,91,2.29,-2.41,2.7,-0.92,0.11,0.32,C,2026-01-02 09:58:24
54604,64,33,91,0.58,3.22,0.43,-0.89,0.14,0.31,C,2026-01-02 09:58:25
55075,61,44,90,-3.66,4.81,-2.89,-0.91,0.13,0.35,C,2026-01-02 09:58:25
55584,62,30,93,-1.66,0.17,0.96,-0.91,0.13,0.32,C,2026-01-02 09:58:26
56092,61,42,96,-1.27,4.92,1.36,-0.9,0.13,0.33,C,2026-01-02 09:58:26
56605,66,44,94,-4.23,-1.85,1.98,-0.9,0.14,0.32,C,2026-01-02 09:58:27
57127,71,45,95,-1.08,0.31,0.87,-0.96,0.13,0.38,C,2026-01-02 09:58:27
57635,66,39,96,-1.98,2.95,1.69,-0.89,0.15,0.34,C,2026-01-02 09:58:28
58142,67,44,96,-1.34,5.24,1.56,-0.89,0.13,0.32,C,2026-01-02 09:58:28
58655,66,42,91,-0.99,5.76,0.44,-0.9,0.15,0.35,C,2026-01-02 09:58:29
59165,68,38,93,5.97,-5.76,-4.73,-0.89,0.16,0.36,C,2026-01-02 09:58:29
59716,67,45,96,0.78,-0.46,0.29,-0.9,0.11,0.36,C,2026-01-02 09:58:30
60216,66,31,91,25.47,2.89,-14.69,-0.92,0.32,0.17,C,2026-01-02 09:58:30
60717,66,47,92,-7.56,-9.77,-1.63,-0.91,0.28,0.4,C,2026-01-02 09:58:31
61217,68,41,96,2.49,0.41,4.6,-0.9,0.23,0.23,C,2026-01-02 09:58:31
61719,67,47,95,9.88,16.56,-15.98,-0.83,0.12,0.27,C,2026-01-02 09:58:32
62274,67,41,95,3.59,-8.63,19.76,-0.93,0.23,0.24,C,2026-01-02 09:58:32
62725,67,44,91,13.62,17.83,3.18,-0.95,0.29,0.29,C,2026-01-02 09:58:33
63277,69,45,95,-8.55,-7.63,6.15,-0.84,0.18,0.41,C,2026-01-02 09:58:33
63777,67,47,94,-5.54,5.24,0.53,-0.84,0.18,0.4,C,2026-01-02 09:58:34
64279,66,45,91,-2.92,-4.95,1.33,-0.81,0.2,0.41,C,2026-01-02 09:58:34
64804,67,47,97,0.27,6.05,-0.38,-0.85,0.17,0.42,C,2026-01-02 09:58:35
65356,70,47,100,1.13,3.63,-0.92,-0.84,0.19,0.42,C,2026-01-02 09:58:35
65857,71,47,97,-19.69,-5.34,-20.89,-0.85,0.13,0.33,C,2026-01-02 09:58:36
66411,72,48,97,21.82,7.37,-7.95,-0.9,0.17,0.3,C,2026-01-02 09:58:37
66859,71,48,97,-12.66,1.24,0.43,-0.9,0.14,0.33,C,2026-01-02 09:58:37
67365,75,47,87,0.56,3.42,-0.18,-0.9,0.12,0.34,C,2026-01-02 09:58:37
67916,72,52,97,-4.99,3.04,2.96,-0.88,0.11,0.35,C,2026-01-02 09:58:38
68416,72,33,96,1.19,2.58,1.39,-0.88,0.12,0.37,C,2026-01-02 09:58:38
68966,75,48,98,-6.6,-2.35,0.23,-0.89,0.09,0.35,C,2026-01-02 09:58:39
69466,73,55,87,-23.01,-1.8,-3.73,-0.88,0.14,0.42,C,2026-01-02 09:58:40
70020,73,47,97,-5.04,3.69,3.24,-0.88,0.09,0.39,C,2026-01-02 09:58:40
70574,73,50,100,-1.33,2.99,-1.74,-0.89,0.07,0.42,C,2026-01-02 09:58:41
71074,73,48,97,8.38,7.76,2.29,-0.86,0.06,0.4,C,2026-01-02 09:58:41
71574,73,50,95,-0.63,0.27,-2.4,-0.87,0.05,0.4,C,2026-01-02 09:58:42
72074,71,50,97,0.72,3.45,-0.32,-0.87,0.04,0.42,C,2026-01-02 09:58:42
72627,76,38,97,-1.19,0.92,1.22,-0.87,0.06,0.41,C,2026-01-02 09:58:43
73127,72,52,100,-0.5,1.39,0.81,-0.87,0.07,0.42,C,2026-01-02 09:58:43
73627,73,48,97,-0.99,2.92,1.22,-0.86,0.07,0.42,C,2026-01-02 09:58:44
74129,73,47,95,-0.78,4.78,3.02,-0.86,0.08,0.4,C,2026-01-02 09:58:44
74635,73,50,97,5.36,-0.35,4.67,-0.85,0.12,0.43,C,2026-01-02 09:58:45
75145,72,38,99,0.05,6.5,3.24,-0.88,0.11,0.39,C,2026-01-02 09:58:45
75696,73,47,99,-8.99,-0.72,-2.12,-0.88,0.08,0.38,C,2026-01-02 09:58:46
76197,71,48,96,-26.12,-3.59,2.96,-0.89,0.19,0.35,C,2026-01-02 09:58:46
76698,67,42,95,-204.12,-24.18,18.15,-0.73,-0.36,0.11,C,2026-01-02 09:58:47
77254,67,47,99,-139.16,-9.04,37.39,-0.8,-0.33,-0.18,C,2026-01-02 09:58:47
77808,61,47,93,-12.34,-3.27,4.09,-0.98,-0.13,-0.18,C,2026-01-02 09:58:48
78317,63,42,92,-7.83,5.31,-1.79,-0.98,-0.1,-0.17,C,2026-01-02 09:58:48
78818,62,38,92,30.24,0.35,-0.05,-0.98,-0.14,-0.22,C,2026-01-02 09:58:49
79345,58,47,92,103.51,-8.06,7.69,-0.93,-0.31,0.02,C,2026-01-02 09:58:49
79894,60,34,86,-0.44,8.53,-2.79,-0.96,0.02,0.21,C,2026-01-02 09:58:50
80449,60,38,90,55.62,24.49,7.48,-0.9,-0.04,0.23,C,2026-01-02 09:58:51
80986,69,56,96,-3.39,-13.02,-0.76,-0.9,0.08,0.19,C,2026-01-02 09:58:51
81487,70,31,97,-0.23,4.63,3.27,-0.92,0.13,0.32,C,2026-01-02 09:58:52
82007,72,39,99,-9.3,1.56,-0.58,-0.92,0.09,0.32,C,2026-01-02 09:58:52
82527,70,42,97,-2.78,8.17,3.74,-0.92,0.11,0.34,C,2026-01-02 09:58:53
83065,73,45,100,-1.77,-0.6,3.53,-0.91,0.12,0.31,C,2026-01-02 09:58:53
83617,71,47,97,2.92,2,0.55,-0.91,0.15,0.31,C,2026-01-02 09:58:54
84156,70,45,97,6.87,2.82,3.69,-0.92,0.14,0.33,C,2026-01-02 09:58:54
84707,70,42,100,-0.96,1.54,1.02,-0.89,0.14,0.32,C,2026-01-02 09:58:55
85207,69,47,97,-1.74,3.47,0.11,-0.91,0.13,0.33,C,2026-01-02 09:58:55
85707,72,39,90,-0.64,4.76,0.72,-0.9,0.12,0.33,C,2026-01-02 09:58:56
86209,68,44,97,1.31,4.06,1.76,-0.91,0.13,0.33,C,2026-01-02 09:58:56
86716,68,39,99,-1.01,2.32,-0.2,-0.91,0.14,0.32,C,2026-01-02 09:58:57
87223,68,39,97,-0.17,2.79,0.75,-0.89,0.13,0.32,C,2026-01-02 09:58:57
87744,64,31,93,-0.23,5.57,1.6,-0.88,0.13,0.33,C,2026-01-02 09:58:58
88256,63,38,99,-2.11,2.35,-0.09,-0.91,0.13,0.32,C,2026-01-02 09:58:58
88806,62,36,89,-0.24,1.83,0.89,-0.91,0.12,0.33,C,2026-01-02 09:58:59
89308,60,30,85,0.56,2.95,-1.1,-0.91,0.14,0.34,C,2026-01-02 09:58:59
89809,59,27,89,-1.02,0.95,1.85,-0.9,0.13,0.32,C,2026-01-02 09:59:00
90316,59,30,88,-4.23,0.64,3.1,-0.9,0.14,0.32,C,2026-01-02 09:59:00
90816,60,30,88,-5.8,4.15,-1.56,-0.91,0.11,0.31,C,2026-01-02 09:59:01
91367,59,30,92,3.4,6.44,1.15,-0.92,0.09,0.35,C,2026-01-02 09:59:02
91867,60,27,88,-0.09,4.05,4.32,-0.91,0.18,0.3,C,2026-01-02 09:59:02
92369,59,30,88,-1.62,2.12,1.66,-0.88,0.13,0.3,C,2026-01-02 09:59:02
92871,57,23,89,2.98,5.27,-3.37,-0.92,0.13,0.32,C,2026-01-02 09:59:03
93376,60,38,89,-2.4,2.08,-1.48,-0.91,0.16,0.3,C,2026-01-02 09:59:03
93886,62,22,91,-4.26,2.95,4.64,-0.91,0.13,0.29,C,2026-01-02 09:59:04
94438,59,34,89,0.99,0.32,4.56,-0.93,0.17,0.32,C,2026-01-02 09:59:04
94994,57,25,89,-5.22,-0.58,-2.96,-0.93,0.1,0.29,C,2026-01-02 09:59:05
95446,64,33,87,-1.91,13.25,-0.66,-0.88,0.12,0.25,C,2026-01-02 09:59:06
