timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
239899,0,74,52,-11.05,13.79,3.42,1.03,-0.17,-0.04,D,2026-01-10 09:49:27
240400,0,89,46,2.67,2.61,3.28,1.01,-0.14,0.03,D,2026-01-10 09:49:28
240916,0,73,63,-3.95,-0.23,2.66,1.02,-0.13,0.02,D,2026-01-10 09:49:28
241417,0,47,65,6.81,-2.44,-2.4,1.05,0.04,-0.04,D,2026-01-10 09:49:29
242230,0,55,65,3.01,0.81,6.15,0.99,-0.21,0.02,D,2026-01-10 09:49:29
242674,0,59,68,-4.47,-12.58,-14.09,0.89,-0.11,-0.12,D,2026-01-10 09:49:30
243234,0,60,70,-0.35,13.94,-0.69,1.02,-0.14,0.02,D,2026-01-10 09:49:30
243681,0,66,68,1.94,9.86,-3.62,1,-0.15,0.02,D,2026-01-10 09:49:31
244182,0,69,72,5.04,0.81,6.49,1.02,-0.1,0.09,D,2026-01-10 09:49:32
244781,0,69,72,1.94,7.44,1.01,1,-0.11,0.07,D,2026-01-10 09:49:32
245265,0,59,100,2.29,18.08,-4.5,0.99,-0.13,0.09,D,2026-01-10 09:49:32
245801,0,62,100,2.35,-1.56,3.5,0.98,-0.08,0.21,D,2026-01-10 09:49:33
246303,0,62,100,-0.4,-25.3,9.34,0.99,-0.09,0.16,D,2026-01-10 09:49:34
246869,0,62,100,-2.11,-2.03,1.94,1.01,-0.18,-0.04,D,2026-01-10 09:49:34
247628,0,62,100,-0.52,2.81,0.73,1,-0.17,-0.05,D,2026-01-10 09:49:35
248240,0,62,100,-2.11,2.03,0.89,1.01,-0.17,-0.04,D,2026-01-10 09:49:35
248685,0,60,100,-0.34,3.86,0.99,1.01,-0.18,-0.03,D,2026-01-10 09:49:36
249368,0,58,100,-1.85,2.08,0.87,1,-0.17,-0.04,D,2026-01-10 09:49:37
249881,0,58,100,-0.78,3.27,1.02,1.01,-0.17,-0.06,D,2026-01-10 09:49:37
250327,0,62,100,-1.34,3.01,0.17,1.01,-0.18,-0.06,D,2026-01-10 09:49:38
251024,0,62,100,-1.69,2.98,0.31,1,-0.19,-0.05,D,2026-01-10 09:49:38
251471,0,65,100,-1.01,2.46,0.18,1.01,-0.18,-0.06,D,2026-01-10 09:49:38
251971,0,64,100,-0.53,3.68,0.12,1.01,-0.18,-0.06,D,2026-01-10 09:49:39
252471,0,64,100,-0.26,0.32,1.18,1.01,-0.19,-0.07,D,2026-01-10 09:49:40
253069,0,64,100,-1.31,2.12,0.12,1.01,-0.18,-0.05,D,2026-01-10 09:49:40
253668,0,64,100,-3.22,2.7,0.24,1,-0.18,-0.04,D,2026-01-10 09:49:41
254132,0,69,100,-1.21,1.65,0.52,1.01,-0.18,-0.06,D,2026-01-10 09:49:41
254632,0,65,100,-0.46,1.25,0.58,1,-0.18,-0.06,D,2026-01-10 09:49:42
255134,0,67,100,-2.14,0.31,1.24,1.01,-0.18,-0.07,D,2026-01-10 09:49:42
255634,0,72,100,0.06,3.59,-0.35,1,-0.18,-0.05,D,2026-01-10 09:49:43
256152,0,68,100,-2.37,2.99,0.06,1.02,-0.15,-0.01,D,2026-01-10 09:49:43
256668,0,70,100,-1.1,2.58,0.43,1,-0.17,-0.06,D,2026-01-10 09:49:44
257186,0,68,100,-1.51,2,0.76,1.01,-0.18,-0.06,D,2026-01-10 09:49:44
257688,0,68,100,-2.95,2.67,1.05,1.01,-0.18,-0.07,D,2026-01-10 09:49:45
258190,0,70,100,-1.65,1.42,0.38,1.01,-0.17,-0.07,D,2026-01-10 09:49:45
258715,0,69,100,-1.4,2.02,0.61,1.01,-0.17,-0.07,D,2026-01-10 09:49:46
259214,0,68,100,-1.24,1.47,0.78,1.01,-0.18,-0.07,D,2026-01-10 09:49:46
259728,0,68,100,-2.06,3.08,1.01,1.01,-0.19,-0.06,D,2026-01-10 09:49:47
260238,0,68,100,-1.51,2.55,0.34,1.01,-0.18,-0.06,D,2026-01-10 09:49:47
260739,0,72,100,-1.42,2.84,0.5,1.01,-0.18,-0.07,D,2026-01-10 09:49:48
261265,0,69,100,-3.5,2.53,1.1,1,-0.18,-0.07,D,2026-01-10 09:49:48
261768,0,70,100,-1.8,2.66,0.17,1,-0.2,-0.06,D,2026-01-10 09:49:49
262269,0,65,85,-1.92,0.14,1.05,1,-0.2,-0.09,D,2026-01-10 09:49:49
262794,0,67,81,-1.97,2.5,0.37,1,-0.18,-0.08,D,2026-01-10 09:49:50
263330,0,66,80,-1.6,1.83,0.7,1.01,-0.19,-0.08,D,2026-01-10 09:49:51
263839,0,67,82,-1.37,2.52,0.49,1,-0.19,-0.07,D,2026-01-10 09:49:51
264340,0,68,87,-1.74,2.44,0.72,1.01,-0.18,-0.07,D,2026-01-10 09:49:51
264844,0,68,81,-1.25,2.12,0.69,1,-0.19,-0.07,D,2026-01-10 09:49:52
265396,0,69,81,-1.63,2.2,0.85,1.01,-0.18,-0.08,D,2026-01-10 09:49:53
266056,0,67,80,-1.3,3.74,0.46,1.01,-0.19,-0.07,D,2026-01-10 09:49:53
266503,0,64,83,-2.17,3.3,0.55,1.01,-0.2,-0.08,D,2026-01-10 09:49:53
267003,0,68,83,-2.03,2.09,-0.06,1,-0.19,-0.08,D,2026-01-10 09:49:54
267507,0,66,83,-4,1.08,0.46,1,-0.21,-0.1,D,2026-01-10 09:49:54
268009,0,67,83,-0.69,4.08,0.4,1.01,-0.2,-0.06,D,2026-01-10 09:49:55
268535,0,70,84,-0.84,1.56,1.13,1.01,-0.18,-0.05,D,2026-01-10 09:49:55
269042,0,70,83,-1.59,1.44,0.4,1.01,-0.18,-0.09,D,2026-01-10 09:49:56
269563,0,70,80,-2.18,2.06,0.29,1.01,-0.19,-0.07,D,2026-01-10 09:49:57
