timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
54959,47,87,100,-2.08,1.89,-0.15,-0.97,0.06,-0.24,E,2026-01-01 15:40:01
55475,44,92,100,-3.76,1.16,0.58,-0.96,0.07,-0.24,E,2026-01-01 15:40:01
55977,46,96,100,-1.37,0.24,0.14,-0.98,0.06,-0.23,E,2026-01-01 15:40:02
56478,48,98,100,-1.37,1.59,1.48,-0.97,0.06,-0.24,E,2026-01-01 15:40:03
57025,44,96,100,-1.57,3.91,-0.14,-0.96,0.06,-0.22,E,2026-01-01 15:40:03
57526,45,86,100,-0.37,3.79,0.55,-0.97,0.06,-0.23,E,2026-01-01 15:40:04
58035,45,91,100,-0.46,2.17,2.37,-0.97,0.06,-0.23,E,2026-01-01 15:40:04
58566,46,87,100,-2.79,2.53,-0.44,-0.96,0.07,-0.24,E,2026-01-01 15:40:05
59066,44,92,100,-29.3,9.5,-17.59,-0.98,0.03,-0.21,E,2026-01-01 15:40:05
59573,45,93,100,-61.63,3.6,-28.17,-0.94,-0.1,-0.32,E,2026-01-01 15:40:06
60080,46,92,100,-11.34,3.28,0.75,-0.94,-0.11,-0.36,E,2026-01-01 15:40:06
60593,44,92,100,-4.92,1.98,-1.27,-0.93,-0.09,-0.39,E,2026-01-01 15:40:07
61147,44,97,100,-39.73,5.19,-12.82,-0.9,-0.15,-0.38,E,2026-01-01 15:40:07
61616,47,92,100,0.08,3.5,0.26,-0.92,-0.11,-0.4,E,2026-01-01 15:40:08
62118,48,86,100,-1.8,3.74,-0.5,-0.92,-0.14,-0.4,E,2026-01-01 15:40:08
62662,44,93,100,-0.9,2.92,0.56,-0.92,-0.14,-0.4,E,2026-01-01 15:40:09
63195,47,90,100,-0.29,5.3,1.54,-0.93,-0.12,-0.4,E,2026-01-01 15:40:09
63697,47,96,100,-2.46,2.92,-0.23,-0.92,-0.12,-0.39,E,2026-01-01 15:40:10
64199,47,88,100,-2.14,1.51,-0.17,-0.92,-0.13,-0.4,E,2026-01-01 15:40:10
64704,44,97,100,-1.02,3.15,0.85,-0.9,-0.13,-0.4,E,2026-01-01 15:40:11
65205,49,100,100,-0.05,5.07,1.54,-0.92,-0.15,-0.4,E,2026-01-01 15:40:11
65716,46,97,100,0.18,-3.05,-3.97,-0.92,-0.14,-0.43,E,2026-01-01 15:40:12
66237,48,87,100,-1.54,6.43,1.1,-0.92,-0.12,-0.41,E,2026-01-01 15:40:12
66737,48,87,100,-0.53,1.48,0.53,-0.91,-0.14,-0.4,E,2026-01-01 15:40:13
67258,45,89,100,-0.08,1.02,0.98,-0.9,-0.13,-0.41,E,2026-01-01 15:40:13
67760,43,93,100,-0.7,2.5,-1.02,-0.91,-0.13,-0.42,E,2026-01-01 15:40:14
68260,45,88,100,-1.25,1.86,0.85,-0.92,-0.13,-0.39,E,2026-01-01 15:40:14
68798,49,94,100,-0.82,1.48,0.55,-0.92,-0.13,-0.4,E,2026-01-01 15:40:15
69300,43,95,100,-1.8,0.81,-0.06,-0.92,-0.13,-0.4,E,2026-01-01 15:40:15
69800,47,86,100,-1.83,1.08,0.89,-0.92,-0.15,-0.39,E,2026-01-01 15:40:16
70343,49,97,100,-82.27,13.85,-45.57,-0.92,-0.22,-0.36,E,2026-01-01 15:40:16
70886,50,98,100,-5.39,-2.66,-8.75,-0.85,-0.25,-0.44,E,2026-01-01 15:40:17
71386,46,92,100,-0.69,-1.69,2.09,-0.85,-0.26,-0.43,E,2026-01-01 15:40:17
71887,45,91,100,-2.72,2.9,-0.46,-0.9,-0.3,-0.36,E,2026-01-01 15:40:18
72402,48,92,100,5.1,1.66,6.7,-0.89,-0.22,-0.39,E,2026-01-01 15:40:18
72904,47,93,100,5.97,4.08,3.65,-0.89,-0.24,-0.43,E,2026-01-01 15:40:22
76044,48,93,100,-1.02,3.5,2.43,-0.88,-0.25,-0.4,E,2026-01-01 15:40:22
76528,49,82,100,-0.84,2.7,-0.11,-0.89,-0.26,-0.41,E,2026-01-01 15:40:23
77078,52,90,100,-1.18,1.24,1.11,-0.88,-0.24,-0.39,E,2026-01-01 15:40:23
77594,43,87,100,-1.25,3.27,0.99,-0.9,-0.26,-0.39,E,2026-01-01 15:40:24
78096,47,90,100,0.11,4.5,0.81,-0.9,-0.25,-0.38,E,2026-01-01 15:40:24
78641,49,86,100,1.3,6.24,1.34,-0.9,-0.26,-0.39,E,2026-01-01 15:40:25
79142,50,83,100,0.38,-2.47,-2.09,-0.91,-0.29,-0.37,E,2026-01-01 15:40:25
79658,45,75,100,-2.55,2.05,0.4,-0.9,-0.27,-0.37,E,2026-01-01 15:40:26
80158,44,86,100,-132.79,-2.41,-35.39,-0.89,-0.23,-0.5,E,2026-01-01 15:40:26
80684,50,83,100,-20.02,5.13,-5.76,-0.91,-0.19,-0.47,E,2026-01-01 15:40:27
81186,50,92,100,-2,-0.7,2.34,-0.9,-0.02,-0.51,E,2026-01-01 15:40:27
81690,47,76,100,1.8,3.62,-0.09,-0.88,-0.06,-0.5,E,2026-01-01 15:40:28
82212,50,86,100,12,0.55,3.59,-0.88,-0.11,-0.51,E,2026-01-01 15:40:28
