timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
2089319,0,100,59,0.43,-4.93,1.37,0.98,-0.11,-0.32,F,2026-01-10 11:51:21
2089818,0,100,60,-1.36,4.92,1.71,0.97,-0.12,-0.32,F,2026-01-10 11:51:22
2090344,0,100,60,-2.89,-2.06,1.97,0.99,-0.11,-0.35,F,2026-01-10 11:51:22
2090884,0,100,59,-2.82,-3.08,0.92,0.98,-0.1,-0.34,F,2026-01-10 11:51:23
2091572,0,100,59,-1.28,-0.09,-0.31,0.97,-0.09,-0.35,F,2026-01-10 11:51:23
2092048,0,100,58,1.31,4.85,-2.21,0.97,-0.1,-0.38,F,2026-01-10 11:51:24
2092761,0,100,58,-0.7,3.8,-1.13,0.95,-0.13,-0.39,F,2026-01-10 11:51:25
2093496,0,100,60,-4.6,2.64,-1.4,0.99,-0.09,-0.22,F,2026-01-10 11:51:25
2094202,0,100,58,-1.11,7.4,-3.47,1.01,-0.07,-0.18,F,2026-01-10 11:51:26
2094649,0,100,56,-0.7,1.04,2.9,1.01,-0.09,-0.22,F,2026-01-10 11:51:27
2095198,0,100,56,-1.97,1.18,1.16,1.01,-0.07,-0.25,F,2026-01-10 11:51:27
2095700,0,100,60,-1.37,1.73,0.7,1.01,-0.08,-0.24,F,2026-01-10 11:51:28
2096298,0,100,60,-2.34,1.25,0.66,1,-0.08,-0.23,F,2026-01-10 11:51:29
2097213,0,100,60,-1.42,2.06,0.89,1,-0.08,-0.25,F,2026-01-10 11:51:29
2097692,0,100,60,-1.21,2.41,0.75,1,-0.07,-0.25,F,2026-01-10 11:51:30
2098419,0,100,60,-1.83,1.16,0.44,1,-0.09,-0.24,F,2026-01-10 11:51:30
2098866,0,100,59,-0.7,2,0.63,1,-0.08,-0.24,F,2026-01-10 11:51:31
2099523,0,100,58,-1.11,2.08,0.29,1,-0.09,-0.25,F,2026-01-10 11:51:31
2099970,0,100,57,-1.33,2.46,0.66,1.01,-0.07,-0.25,F,2026-01-10 11:51:32
2100526,0,100,58,-1.13,1.92,0.9,1,-0.09,-0.24,F,2026-01-10 11:51:33
2101294,0,100,58,-1.76,0.9,0.53,1,-0.09,-0.24,F,2026-01-10 11:51:33
2101793,0,100,59,-3.56,-5.91,-0.92,1,-0.08,-0.24,F,2026-01-10 11:51:34
2102401,0,100,59,0.85,4.09,1.98,1.01,-0.07,-0.18,F,2026-01-10 11:51:34
2102849,0,100,60,-0.41,3.74,0.79,1,-0.08,-0.25,F,2026-01-10 11:51:35
2103351,0,100,60,-4.78,-7.77,-1.16,0.99,-0.07,-0.29,F,2026-01-10 11:51:35
2103853,0,100,59,-0.93,6.18,-0.43,1.01,-0.07,-0.22,F,2026-01-10 11:51:36
2104385,0,100,59,-2.21,-0.84,1.44,1.02,-0.04,-0.17,F,2026-01-10 11:51:36
2104889,0,100,56,-0.27,-0.23,0.73,1.02,-0.07,-0.19,F,2026-01-10 11:51:37
2105398,0,100,60,-2.06,-4.78,1.92,1.02,-0.09,-0.24,F,2026-01-10 11:51:37
2105913,0,100,60,2.24,6.85,-0.64,0.99,-0.1,-0.3,F,2026-01-10 11:51:38
2106414,0,100,60,5.82,8.66,0.67,1.01,-0.04,-0.24,F,2026-01-10 11:51:38
2107070,0,100,61,-0.67,1.92,-1.98,0.99,-0.08,-0.24,F,2026-01-10 11:51:39
2107624,0,100,61,-3.71,14.76,-4.09,1,-0.07,-0.16,F,2026-01-10 11:51:39
2108123,0,100,60,0.56,2.55,-1.24,1.01,-0.03,-0.27,F,2026-01-10 11:51:40
2108593,0,100,60,-2.49,2.15,2.24,1,-0.08,-0.21,F,2026-01-10 11:51:40
2109148,0,100,61,-1.88,2.96,3.07,1.01,-0.08,-0.18,F,2026-01-10 11:51:41
2109704,0,100,60,-1.83,-2.64,0.31,1,-0.07,-0.26,F,2026-01-10 11:51:41
2110193,0,100,59,-1.28,4.38,0.46,1.01,-0.04,-0.27,F,2026-01-10 11:51:42
2110763,0,100,59,-3.19,7.04,-0.06,1.01,-0.1,-0.22,F,2026-01-10 11:51:43
2111307,0,100,59,-1.63,0.96,1.89,1,-0.09,-0.24,F,2026-01-10 11:51:43
2111807,0,100,59,-1.25,2.18,0.92,1.01,-0.09,-0.23,F,2026-01-10 11:51:44
2112262,0,100,63,-1.37,2.61,1.19,1.01,-0.09,-0.22,F,2026-01-10 11:51:44
2112763,0,100,60,-1.97,5.62,1.94,1,-0.09,-0.28,F,2026-01-10 11:51:44
2113283,0,100,61,-1.73,-2.98,0.02,1.01,-0.06,-0.19,F,2026-01-10 11:51:45
2113816,0,100,62,5.04,12.49,0.15,1,-0.08,-0.2,F,2026-01-10 11:51:46
2114574,0,100,62,-1.31,11.51,2.29,0.96,-0.08,-0.15,F,2026-01-10 11:51:46
2115019,0,100,59,0.23,1.82,1.07,1,-0.1,-0.23,F,2026-01-10 11:51:47
2115553,0,100,54,-0.73,0.69,0.05,1.01,-0.08,-0.21,F,2026-01-10 11:51:47
2116061,0,100,60,-1.73,5.5,0.75,1.01,-0.1,-0.22,F,2026-01-10 11:51:48
2116572,0,100,59,-1.54,1.65,0.55,1,-0.11,-0.21,F,2026-01-10 11:51:49
2117244,0,100,59,-1.88,2.31,0.24,1,-0.11,-0.2,F,2026-01-10 11:51:49
2117745,0,100,60,-3.86,0.37,0.17,1,-0.14,-0.21,F,2026-01-10 11:51:49
2118286,0,100,60,1.48,2.29,3.73,1.03,-0.04,-0.13,F,2026-01-10 11:51:50
2118813,0,100,60,-4.08,1.68,-3.04,1,-0.11,-0.24,F,2026-01-10 11:51:51
2119313,0,100,59,-1.33,4.14,1.22,1.01,-0.1,-0.2,F,2026-01-10 11:51:51
2119815,0,100,60,-0.37,4,-0.03,1.01,-0.08,-0.21,F,2026-01-10 11:51:52
2120692,0,100,59,-1.53,1.71,0.72,1.01,-0.09,-0.2,F,2026-01-10 11:51:53
2121271,0,100,58,-1.42,1.57,0.34,1.01,-0.09,-0.19,F,2026-01-10 11:51:53
2121716,0,100,57,-0.99,2.53,-0.12,1,-0.09,-0.2,F,2026-01-10 11:51:54
2122216,0,100,57,-1.77,3.31,0.41,1,-0.1,-0.2,F,2026-01-10 11:51:54
2122716,0,100,58,-2.5,2.67,0.27,1.01,-0.08,-0.2,F,2026-01-10 11:51:55
2123216,0,100,60,-0.95,-0.92,0.4,1.01,-0.09,-0.23,F,2026-01-10 11:51:55
2123719,0,100,59,0.06,3.27,1.01,1.01,-0.1,-0.24,F,2026-01-10 11:51:56
2124244,0,100,63,-1.79,1.95,1.02,1,-0.1,-0.22,F,2026-01-10 11:51:56
2124869,0,100,64,-2.93,1.62,0.43,1,-0.1,-0.22,F,2026-01-10 11:51:57
2125340,0,100,60,0.29,9.44,-1.33,1.01,-0.08,-0.22,F,2026-01-10 11:51:57
2125889,0,100,62,-9.21,6.53,1.19,1.01,-0.11,-0.2,F,2026-01-10 11:51:58
2126389,0,100,60,-6.61,0.75,1.63,1,-0.13,-0.16,F,2026-01-10 11:51:58
2126890,0,100,58,-8.82,-12.4,6.4,0.98,-0.14,-0.32,F,2026-01-10 11:51:59
2127406,0,100,60,1.07,1.8,2.6,1.01,-0.07,-0.26,F,2026-01-10 11:51:59
2127926,0,100,60,-5.65,0.6,3.18,1,-0.03,-0.26,F,2026-01-10 11:52:00
2128474,0,100,58,-3.85,5.15,0.81,1.01,-0.04,-0.1,F,2026-01-10 11:52:00
2129029,0,100,57,-2.23,-3.39,1.65,1.01,-0.04,-0.17,F,2026-01-10 11:52:01
2129541,0,100,54,-1.34,-8.23,-1.13,1.02,-0.02,-0.16,F,2026-01-10 11:52:01
