timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
22929,24,15,28,-3.63,2.56,-1.11,-0.97,-0.01,0.02,MERCI,2026-01-01 15:47:10
23443,21,12,23,-5.11,2.63,-1.94,-0.98,-0.01,0.02,MERCI,2026-01-01 15:47:10
23968,19,13,30,-0.47,6.63,-0.89,-0.98,-0.01,-0.01,MERCI,2026-01-01 15:47:11
24493,18,15,30,2.09,3.24,2.69,-0.98,-0.02,-0.01,MERCI,2026-01-01 15:47:11
30055,18,11,28,-1.71,5.53,-0.35,-0.99,-0.02,0.01,MERCI,2026-01-01 15:47:17
35568,26,12,29,1.85,2.82,1.31,-0.97,-0.14,-0.14,MERCI,2026-01-01 15:47:23
36037,20,16,33,6.06,8.73,2.38,-0.97,-0.15,-0.13,MERCI,2026-01-01 15:47:23
36546,24,12,31,-2.41,2.29,2.76,-0.95,-0.16,-0.18,MERCI,2026-01-01 15:47:26
39689,26,14,31,9.57,2.21,3.91,-0.98,-0.17,-0.13,MERCI,2026-01-01 15:47:27
40158,23,14,32,-73.28,-10.98,-7.47,-0.98,-0.12,-0.17,MERCI,2026-01-01 15:47:27
40660,22,13,28,-38.17,-11.73,11.51,-1.01,-0.06,-0.14,MERCI,2026-01-01 15:47:28
41161,23,9,29,3.57,3.34,1.22,-0.97,0.02,-0.12,MERCI,2026-01-01 15:47:28
41663,23,11,27,-0.9,0.75,-0.06,-0.99,-0.03,-0.11,MERCI,2026-01-01 15:47:31
44548,23,12,28,-1.83,4.79,1.5,-0.98,-0.1,-0.09,MERCI,2026-01-01 15:47:31
44993,22,11,29,1.83,-0.05,-0.78,-0.98,-0.1,-0.11,MERCI,2026-01-01 15:47:32
50609,23,11,30,-11.07,-2.29,-0.63,-0.99,-0.12,-0.05,MERCI,2026-01-01 15:47:38
51075,19,11,28,-1.69,1.3,2.66,-0.95,-0.11,-0.06,MERCI,2026-01-01 15:47:38
51597,20,12,31,-1.92,-1.97,0.21,-0.97,-0.12,-0.05,MERCI,2026-01-01 15:47:39
57193,18,11,31,-0.09,4.61,-5.18,-0.97,-0.07,0,MERCI,2026-01-01 15:47:44
57646,20,6,30,-1.63,2.05,1.21,-0.97,-0.08,0.01,MERCI,2026-01-01 15:47:45
63221,18,12,31,0.64,5.51,-1.11,-0.96,-0.15,-0.02,MERCI,2026-01-01 15:47:50
63697,22,16,31,-1.73,4.2,3.01,-0.98,-0.12,-0.03,MERCI,2026-01-01 15:47:51
64209,20,16,31,-1.39,5.88,1.31,-0.97,-0.06,-0.05,MERCI,2026-01-01 15:47:51
64727,21,14,31,1.59,7.21,-3.5,-0.98,-0.07,0.04,MERCI,2026-01-01 15:47:52
65229,19,14,31,7.44,14.4,7.65,-0.99,-0.15,-0.05,MERCI,2026-01-01 15:47:52
65750,20,2,31,11.04,4.35,5.88,-1.04,-0.2,0.08,MERCI,2026-01-01 15:47:53
66252,20,16,32,-5.8,5.27,-2.72,-1.01,-0.1,-0.21,MERCI,2026-01-01 15:47:53
66785,18,20,32,0.78,2.81,2.23,-0.94,-0.11,-0.19,MERCI,2026-01-01 15:47:54
67311,21,16,30,-1.8,3.82,-1.08,-0.97,-0.1,-0.19,MERCI,2026-01-01 15:47:54
67812,19,20,31,-1.05,3.21,-0.96,-0.99,-0.1,-0.18,MERCI,2026-01-01 15:47:55
68313,19,17,31,-0.93,2.4,-0.27,-0.98,-0.12,-0.16,MERCI,2026-01-01 15:47:55
68818,20,16,31,-2.27,0.05,-0.78,-0.97,-0.11,-0.19,MERCI,2026-01-01 15:47:56
69320,20,16,32,-1.33,2.93,0.84,-0.98,-0.11,-0.19,MERCI,2026-01-01 15:47:56
69824,20,16,31,-0.11,3.56,-2.03,-0.97,-0.08,-0.17,MERCI,2026-01-01 15:47:57
70345,19,16,32,-0.14,-0.89,0.21,-0.96,-0.1,-0.19,MERCI,2026-01-01 15:47:57
70873,25,17,31,-1.85,3.51,-1.05,-0.98,-0.1,-0.18,MERCI,2026-01-01 15:47:58
71386,19,17,33,-2.6,3.33,-0.61,-0.98,-0.09,-0.19,MERCI,2026-01-01 15:47:58
71886,20,17,31,-3.25,3.94,-1.33,-0.99,-0.1,-0.17,MERCI,2026-01-01 15:47:59
72389,19,10,31,-2.02,2.56,0.78,-0.98,-0.1,-0.16,MERCI,2026-01-01 15:47:59
72903,23,16,31,1.27,1.63,1.8,-0.98,-0.12,-0.14,MERCI,2026-01-01 15:48:00
73447,20,13,30,2.11,4.7,0.7,-0.97,-0.09,-0.17,MERCI,2026-01-01 15:48:00
73948,20,16,31,-0.79,3.57,0.46,-0.99,-0.1,-0.17,MERCI,2026-01-01 15:48:01
74450,23,10,31,-3.8,3.44,-1.04,-0.98,-0.1,-0.17,MERCI,2026-01-01 15:48:01
74967,23,16,31,-1.16,0.4,0.93,-0.97,-0.11,-0.17,MERCI,2026-01-01 15:48:02
75488,21,18,31,0.55,2.87,1.44,-0.98,-0.11,-0.17,MERCI,2026-01-01 15:48:02
76043,18,17,29,19.68,6.26,7.82,-0.96,-0.09,-0.18,MERCI,2026-01-01 15:48:03
76489,19,19,33,5.45,3.11,3.94,-0.97,-0.07,-0.17,MERCI,2026-01-01 15:48:04
