timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
366734,66,100,100,-1.02,3.95,0.47,0.19,0.99,-0.02,OK,2026-01-10 12:11:16
367400,68,100,100,-1.79,2.72,0.78,0.2,0.99,-0.03,OK,2026-01-10 12:11:17
367856,64,100,100,-0.95,1.89,0.96,0.19,0.99,-0.03,OK,2026-01-10 12:11:17
368357,63,100,100,-1.82,2.4,0.63,0.19,0.99,-0.02,OK,2026-01-10 12:11:18
368866,63,100,100,-2.09,2.81,0.43,0.19,0.99,-0.02,OK,2026-01-10 12:11:18
369392,59,100,100,-1.24,2.67,0.56,0.19,0.99,-0.02,OK,2026-01-10 12:11:19
369891,55,100,100,-2.38,3.53,-0.34,0.19,0.99,-0.02,OK,2026-01-10 12:11:19
370476,45,100,100,-1.22,1.47,0.78,0.19,0.98,-0.01,OK,2026-01-10 12:11:20
370923,57,100,100,-2.58,3.27,0.03,0.19,0.99,-0.02,OK,2026-01-10 12:11:20
371438,61,100,100,-0.82,2.24,0.81,0.19,0.98,0,OK,2026-01-10 12:11:21
371947,56,100,100,-1.27,2.38,0.76,0.19,0.98,-0.01,OK,2026-01-10 12:11:21
372448,56,100,100,-1.89,2.43,0.5,0.19,0.99,0,OK,2026-01-10 12:11:22
372950,56,100,100,-1.92,2.17,0.24,0.19,0.99,-0.01,OK,2026-01-10 12:11:22
373452,58,100,100,-1.24,2.5,0.61,0.19,0.99,0,OK,2026-01-10 12:11:23
373979,56,100,100,-1.92,2.41,0.44,0.2,0.99,-0.01,OK,2026-01-10 12:11:23
374504,55,100,100,-1.15,2.34,0.55,0.2,0.98,-0.01,OK,2026-01-10 12:11:24
375042,53,100,100,-1.42,2.44,0.55,0.19,0.98,0,OK,2026-01-10 12:11:24
375543,55,100,100,-1.6,2.56,0.46,0.19,0.99,-0.01,OK,2026-01-10 12:11:25
376073,55,100,100,-1.25,2.21,0.55,0.19,0.99,-0.01,OK,2026-01-10 12:11:25
376574,54,100,100,-1.45,2.66,0.5,0.19,0.99,0,OK,2026-01-10 12:11:26
377098,56,100,100,-1.01,2.23,0.2,0.19,0.99,0,OK,2026-01-10 12:11:26
377638,57,100,100,-1.04,1.95,0.63,0.2,0.99,0,OK,2026-01-10 12:11:27
378176,55,100,100,-1.95,2.63,0.47,0.19,0.98,0,OK,2026-01-10 12:11:27
378680,56,100,100,-1.39,2.44,0.6,0.19,0.99,0,OK,2026-01-10 12:11:28
379189,57,100,100,-0.49,2.87,0.99,0.19,0.99,0.01,OK,2026-01-10 12:11:31
381791,56,100,100,-1.34,2.43,0.43,0.19,0.99,-0.01,OK,2026-01-10 12:11:31
382247,56,100,100,-1.39,2.44,0.66,0.19,0.99,-0.01,OK,2026-01-10 12:11:31
382747,54,100,100,-1.33,2.03,0.46,0.19,0.99,0,OK,2026-01-10 12:11:32
383248,59,100,100,-1.19,1.86,0.81,0.19,0.99,0,OK,2026-01-10 12:11:32
383784,55,100,100,-1.33,2.47,0.61,0.19,0.99,0,OK,2026-01-10 12:11:33
