timestamp,flex_thumb,flex_index,flex_middle,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,label,datetime
55015,2,25,28,-2.2,4.41,-1.77,-0.96,0.01,0.14,STOP,2026-01-01 14:21:28
55528,2,23,27,-3.56,3.21,-0.95,-0.96,0.01,0.16,STOP,2026-01-01 14:21:28
56028,9,22,30,-1.02,3.28,-0.6,-0.96,0.01,0.15,STOP,2026-01-01 14:21:29
56544,12,22,28,-3.62,1.3,-1.8,-0.96,0.01,0.16,STOP,2026-01-01 14:21:29
57058,9,25,33,-3.19,1.59,-0.58,-0.95,0,0.16,STOP,2026-01-01 14:21:30
57559,15,24,33,-6.18,-3.08,0.81,-0.96,0.01,0.17,STOP,2026-01-01 14:21:30
58079,19,24,34,-0.47,7.11,2.49,-0.96,0.04,0.17,STOP,2026-01-01 14:21:31
58600,16,21,31,-2.6,-0.4,0.23,-0.96,0.03,0.16,STOP,2026-01-01 14:21:31
59099,19,26,30,0.37,-1.42,3.95,-0.96,0.01,0.15,STOP,2026-01-01 14:21:32
59631,14,22,33,-1.83,2.09,2.09,-0.95,0.01,0.13,STOP,2026-01-01 14:21:33
60131,15,22,29,4.85,10.61,-3.25,-1.03,0.04,0.18,STOP,2026-01-01 14:21:33
60632,17,30,29,-8.37,0.9,8.78,-0.93,0.02,0.08,STOP,2026-01-01 14:21:33
61133,14,32,28,-2.78,2.95,-2.47,-0.98,0,0.11,STOP,2026-01-01 14:21:34
61635,12,28,27,-0.81,0.64,-0.53,-0.96,-0.01,0.11,STOP,2026-01-01 14:21:34
62185,12,33,31,-1.89,1.94,1.6,-0.96,-0.01,0.13,STOP,2026-01-01 14:21:35
62822,12,30,30,-1.69,4.32,-0.43,-0.97,-0.03,0.13,STOP,2026-01-01 14:21:36
63286,12,30,31,1.02,0.08,3.21,-0.96,-0.02,0.13,STOP,2026-01-01 14:21:36
63805,12,32,33,-2.67,2.78,-1.65,-0.96,-0.01,0.13,STOP,2026-01-01 14:21:36
64351,13,32,35,-2.21,1.66,0.5,-0.95,-0.02,0.14,STOP,2026-01-01 14:21:37
64852,12,26,30,-2.53,1.91,0.34,-0.94,-0.03,0.12,STOP,2026-01-01 14:21:37
65352,12,30,34,-0.26,2.37,1.33,-0.97,-0.03,0.14,STOP,2026-01-01 14:21:38
65902,12,30,37,0.15,3.82,2.56,-0.95,-0.01,0.13,STOP,2026-01-01 14:21:39
66403,24,30,38,-6.98,2.03,-5.05,-0.96,-0.05,0.13,STOP,2026-01-01 14:21:39
66904,26,30,35,-3.53,1.51,2.26,-0.96,-0.08,0.15,STOP,2026-01-01 14:21:40
67582,26,28,34,-3.15,5.95,-1.15,-0.95,-0.08,0.07,STOP,2026-01-01 14:21:40
68054,31,30,36,-6.31,2.81,0.6,-0.94,-0.08,0.04,STOP,2026-01-01 14:21:41
68640,31,32,36,-4.84,7.34,8.56,-0.98,-0.01,0.04,STOP,2026-01-01 14:21:41
69132,39,32,37,-1.88,8.93,3.37,-0.98,0.11,-0.05,STOP,2026-01-01 14:21:42
69649,41,30,38,-0.31,3.71,-1.4,-0.98,0.08,-0.05,STOP,2026-01-01 14:21:43
70182,40,33,38,-2.24,0.99,-0.6,-0.95,0.05,-0.08,STOP,2026-01-01 14:21:43
70682,40,32,38,-2.81,2.34,-0.89,-0.96,0.05,-0.09,STOP,2026-01-01 14:21:44
71477,37,30,37,-0.17,4.03,1.01,-0.97,0.05,-0.05,STOP,2026-01-01 14:21:44
71932,40,32,40,0.43,3.45,1.54,-1,0.04,-0.02,STOP,2026-01-01 14:21:45
